EnrollmentID,StudentID,CourseID,SemesterID,FacultyID,EnrollmentDate,EnrollmentStatus,FinalMark,LetterGrade,GradePoint,AttendancePercentage,PassedStatus,Academic Performance Category,Attendance Risk Level
E000018,STU0001,C065,S02,F046,2023-05-07,Completed,52.6,C+,2.5,83.6,Passed,Satisfactory,Low Risk
E000019,STU0001,C059,S02,F048,2023-05-02,Completed,53.0,C+,2.5,88.9,Passed,Satisfactory,Low Risk
E000020,STU0001,C038,S04,F048,2024-01-19,Withdrawn,48.8,C,2.25,78.6,Passed,Satisfactory,Low Risk
E000021,STU0001,C065,S04,F030,2024-01-20,Completed,57.1,B-,2.75,67.9,Passed,Satisfactory,Moderate Risk
E000022,STU0001,C031,S04,F048,2024-01-13,Completed,89.6,A+,4.0,92.3,Passed,Excellent,Low Risk
E000023,STU0001,C059,S09,F029,2025-09-19,Enrolled,73.7,A-,3.5,73.9,Passed,Good,Moderate Risk
E000024,STU0001,C038,S09,F012,2025-09-17,Completed,73.3,A-,3.5,77.1,Passed,Good,Low Risk
E000025,STU0001,C065,S09,F030,2025-09-17,Completed,59.4,B-,2.75,100.0,Passed,Good,Low Risk
E000026,STU0002,C007,S02,F022,2023-05-11,Completed,84.1,A+,4.0,84.7,Passed,Excellent,Low Risk
E000027,STU0002,C001,S02,F025,2023-05-14,Completed,65.4,B+,3.25,88.5,Passed,Good,Low Risk
E000028,STU0002,C019,S02,F022,2023-05-21,Enrolled,59.9,B-,2.75,81.8,Passed,Good,Low Risk
E000029,STU0002,C003,S02,F025,2023-05-12,Completed,75.2,A,3.75,100.0,Passed,Excellent,Low Risk
E000030,STU0002,C007,S11,F022,2026-05-13,Enrolled,56.4,B-,2.75,93.2,Passed,Satisfactory,Low Risk
E000031,STU0002,C019,S11,F022,2026-05-04,Completed,50.2,C+,2.5,100.0,Passed,Satisfactory,Low Risk
E000032,STU0002,C003,S11,F025,2026-05-01,Enrolled,77.9,A,3.75,85.2,Passed,Excellent,Low Risk
E000033,STU0002,C029,S11,F025,2026-05-09,Withdrawn,38.3,F,0.0,81.6,Failed,At Risk,Low Risk
E000034,STU0002,C058,S11,F022,2026-05-11,Enrolled,73.8,A-,3.5,97.5,Passed,Good,Low Risk
E000035,STU0002,C001,S04,F025,2024-01-07,Completed,69.3,B+,3.25,79.0,Passed,Good,Low Risk
E000036,STU0002,C003,S04,F022,2024-01-19,Completed,56.8,B-,2.75,74.2,Passed,Satisfactory,Low Risk
E000037,STU0002,C007,S04,F022,2024-01-12,Completed,78.3,A,3.75,70.0,Passed,Excellent,Moderate Risk
E000038,STU0002,C029,S04,F022,2024-01-11,Completed,55.5,B-,2.75,99.8,Passed,Satisfactory,Low Risk
E000039,STU0002,C058,S04,F022,2024-01-02,Completed,99.6,A+,4.0,90.1,Passed,Excellent,Low Risk
E000040,STU0002,C003,S09,F025,2025-09-13,Completed,52.3,C+,2.5,80.7,Passed,Satisfactory,Low Risk
E000041,STU0002,C029,S09,F025,2025-09-08,Enrolled,76.1,A,3.75,67.6,Passed,Excellent,Moderate Risk
E000042,STU0002,C001,S09,F025,2025-09-19,Enrolled,49.6,C,2.25,100.0,Passed,Satisfactory,Low Risk
E000043,STU0002,C007,S09,F025,2025-09-07,Completed,62.7,B,3.0,74.4,Passed,Good,Low Risk
E000044,STU0002,C019,S09,F025,2025-09-18,Enrolled,83.5,A+,4.0,88.4,Passed,Excellent,Low Risk
E000045,STU0003,C064,S11,F027,2026-05-04,Completed,57.2,B-,2.75,100.0,Passed,Satisfactory,Low Risk
E000046,STU0003,C068,S11,F028,2026-05-13,Enrolled,98.2,A+,4.0,68.0,Passed,Excellent,Moderate Risk
E000047,STU0003,C040,S11,F039,2026-05-09,Completed,47.7,C,2.25,88.1,Passed,Satisfactory,Low Risk
E000048,STU0003,C069,S11,F050,2026-05-18,Completed,60.0,B,3.0,89.6,Passed,Good,Low Risk
E000049,STU0003,C040,S10,F039,2026-01-11,Completed,62.6,B,3.0,63.4,Passed,Good,Moderate Risk
E000050,STU0003,C068,S10,F050,2026-01-14,Enrolled,56.2,B-,2.75,65.8,Passed,Satisfactory,Moderate Risk
E000051,STU0003,C064,S10,F027,2026-01-17,Completed,60.6,B,3.0,86.0,Passed,Good,Low Risk
E000052,STU0003,C069,S10,F027,2026-01-10,Enrolled,64.9,B,3.0,87.0,Passed,Good,Low Risk
E000053,STU0003,C069,S05,F027,2024-05-02,Completed,77.7,A,3.75,66.1,Passed,Excellent,Moderate Risk
E000054,STU0003,C068,S05,F027,2024-05-16,Completed,76.2,A,3.75,91.0,Passed,Excellent,Low Risk
E000055,STU0003,C040,S05,F028,2024-05-01,Completed,51.9,C+,2.5,82.9,Passed,Satisfactory,Low Risk
E000056,STU0003,C069,S09,F028,2025-09-18,Completed,72.8,A-,3.5,80.7,Passed,Good,Low Risk
E000057,STU0003,C040,S09,F050,2025-09-06,Completed,55.8,B-,2.75,92.2,Passed,Satisfactory,Low Risk
E000058,STU0003,C068,S09,F027,2025-09-05,Enrolled,93.4,A+,4.0,91.3,Passed,Excellent,Low Risk
E000059,STU0003,C064,S09,F028,2025-09-07,Completed,33.8,F,0.0,51.0,Failed,At Risk,High Risk
E000060,STU0004,C047,S09,F020,2025-09-09,Completed,83.6,A+,4.0,87.6,Passed,Excellent,Low Risk
E000061,STU0004,C009,S09,F001,2025-09-06,Enrolled,83.7,A+,4.0,76.7,Passed,Excellent,Low Risk
E000062,STU0004,C044,S09,F001,2025-09-06,Withdrawn,63.4,B,3.0,68.0,Passed,Good,Moderate Risk
E000063,STU0004,C046,S04,F035,2024-01-21,Completed,65.1,B+,3.25,61.6,Passed,Good,Moderate Risk
E000064,STU0004,C013,S04,F023,2024-01-19,Completed,75.5,A,3.75,64.7,Passed,Excellent,Moderate Risk
E000065,STU0004,C021,S04,F023,2024-01-14,Completed,83.1,A+,4.0,94.8,Passed,Excellent,Low Risk
E000066,STU0004,C044,S04,F001,2024-01-16,Completed,67.8,B+,3.25,79.4,Passed,Good,Low Risk
E000067,STU0004,C046,S10,F043,2026-01-06,Withdrawn,73.4,A-,3.5,78.4,Passed,Good,Low Risk
E000068,STU0004,C047,S10,F023,2026-01-01,Enrolled,40.5,D,2.0,90.7,Passed,Satisfactory,Low Risk
E000069,STU0004,C009,S10,F043,2026-01-19,Completed,63.3,B,3.0,69.4,Passed,Good,Moderate Risk
E000070,STU0004,C020,S10,F023,2026-01-06,Completed,48.6,C,2.25,82.2,Passed,Satisfactory,Low Risk
E000071,STU0004,C021,S10,F045,2026-01-08,Completed,67.3,B+,3.25,63.7,Passed,Good,Moderate Risk
E000072,STU0004,C020,S08,F001,2025-05-05,Completed,99.6,A+,4.0,80.2,Passed,Excellent,Low Risk
E000073,STU0004,C045,S08,F023,2025-05-16,Completed,93.5,A+,4.0,76.6,Passed,Excellent,Low Risk
E000074,STU0004,C044,S08,F020,2025-05-14,Completed,84.4,A+,4.0,91.7,Passed,Excellent,Low Risk
E000075,STU0004,C009,S08,F035,2025-05-03,Completed,77.0,A,3.75,86.4,Passed,Excellent,Low Risk
E000076,STU0004,C044,S02,F035,2023-05-07,Completed,79.1,A,3.75,90.6,Passed,Excellent,Low Risk
E000077,STU0004,C021,S02,F043,2023-05-07,Completed,69.2,B+,3.25,76.6,Passed,Good,Low Risk
E000078,STU0004,C047,S02,F001,2023-05-12,Completed,46.1,C,2.25,87.0,Passed,Satisfactory,Low Risk
E000079,STU0004,C046,S02,F023,2023-05-04,Withdrawn,69.6,B+,3.25,85.7,Passed,Good,Low Risk
E000080,STU0004,C020,S03,F043,2023-09-09,Completed,61.0,B,3.0,72.2,Passed,Good,Moderate Risk
E000081,STU0004,C013,S03,F043,2023-09-14,Enrolled,66.1,B+,3.25,66.1,Passed,Good,Moderate Risk
E000082,STU0004,C046,S03,F020,2023-09-18,Completed,73.1,A-,3.5,86.0,Passed,Good,Low Risk
E000083,STU0004,C009,S11,F045,2026-05-08,Completed,80.9,A+,4.0,68.3,Passed,Excellent,Moderate Risk
E000084,STU0004,C047,S11,F035,2026-05-21,Enrolled,72.1,A-,3.5,100.0,Passed,Good,Low Risk
E000085,STU0004,C020,S11,F045,2026-05-11,Enrolled,60.8,B,3.0,61.6,Passed,Good,Moderate Risk
E000086,STU0004,C044,S11,F035,2026-05-02,Enrolled,56.9,B-,2.75,77.4,Passed,Satisfactory,Low Risk
E000087,STU0004,C045,S11,F043,2026-05-13,Enrolled,81.6,A+,4.0,98.7,Passed,Excellent,Low Risk
E000088,STU0004,C046,S01,F001,2023-01-10,Enrolled,51.0,C+,2.5,87.9,Passed,Satisfactory,Low Risk
E000089,STU0004,C021,S01,F023,2023-01-02,Completed,83.4,A+,4.0,83.2,Passed,Excellent,Low Risk
E000090,STU0004,C045,S01,F035,2023-01-21,Completed,68.5,B+,3.25,65.4,Passed,Good,Moderate Risk
E000091,STU0005,C003,S02,F025,2023-05-06,Completed,66.6,B+,3.25,80.1,Passed,Good,Low Risk
E000092,STU0005,C058,S02,F022,2023-05-13,Completed,66.8,B+,3.25,82.2,Passed,Good,Low Risk
E000093,STU0005,C001,S02,F025,2023-05-01,Enrolled,84.3,A+,4.0,75.9,Passed,Excellent,Low Risk
E000094,STU0005,C057,S07,F025,2025-01-07,Completed,67.6,B+,3.25,69.2,Passed,Good,Moderate Risk
E000095,STU0005,C029,S07,F022,2025-01-10,Completed,72.1,A-,3.5,73.8,Passed,Good,Moderate Risk
E000096,STU0005,C003,S07,F025,2025-01-19,Enrolled,61.3,B,3.0,67.6,Passed,Good,Moderate Risk
E000097,STU0005,C003,S05,F022,2024-05-21,Completed,83.7,A+,4.0,81.1,Passed,Excellent,Low Risk
E000098,STU0005,C019,S05,F025,2024-05-09,Completed,94.7,A+,4.0,82.7,Passed,Excellent,Low Risk
E000099,STU0005,C029,S05,F022,2024-05-21,Completed,48.0,C,2.25,91.0,Passed,Satisfactory,Low Risk
E000100,STU0005,C007,S05,F025,2024-05-13,Completed,86.8,A+,4.0,100.0,Passed,Excellent,Low Risk
E000101,STU0005,C003,S04,F025,2024-01-01,Completed,62.1,B,3.0,92.2,Passed,Good,Low Risk
E000102,STU0005,C029,S04,F022,2024-01-02,Completed,68.1,B+,3.25,84.0,Passed,Good,Low Risk
E000103,STU0005,C007,S04,F025,2024-01-19,Completed,61.6,B,3.0,89.2,Passed,Good,Low Risk
E000104,STU0005,C058,S04,F025,2024-01-17,Enrolled,66.7,B+,3.25,86.7,Passed,Good,Low Risk
E000105,STU0005,C019,S04,F025,2024-01-02,Completed,72.5,A-,3.5,82.8,Passed,Good,Low Risk
E000106,STU0005,C057,S11,F022,2026-05-16,Completed,66.6,B+,3.25,81.8,Passed,Good,Low Risk
E000107,STU0005,C019,S11,F025,2026-05-13,Completed,66.0,B+,3.25,76.2,Passed,Good,Low Risk
E000108,STU0005,C029,S11,F022,2026-05-06,Enrolled,86.5,A+,4.0,82.8,Passed,Excellent,Low Risk
E000109,STU0005,C003,S11,F022,2026-05-15,Enrolled,82.1,A+,4.0,55.0,Passed,Excellent,High Risk
E000110,STU0005,C007,S11,F022,2026-05-17,Completed,66.3,B+,3.25,75.3,Passed,Good,Low Risk
E000111,STU0005,C001,S06,F025,2024-09-14,Enrolled,71.9,A-,3.5,60.6,Passed,Good,Moderate Risk
E000112,STU0005,C029,S06,F025,2024-09-02,Completed,69.4,B+,3.25,86.5,Passed,Good,Low Risk
E000113,STU0005,C019,S06,F025,2024-09-15,Completed,63.5,B,3.0,88.8,Passed,Good,Low Risk
E000114,STU0005,C057,S06,F025,2024-09-09,Enrolled,58.9,B-,2.75,80.8,Passed,Satisfactory,Low Risk
E000115,STU0005,C007,S01,F025,2023-01-17,Completed,58.5,B-,2.75,77.4,Passed,Satisfactory,Low Risk
E000116,STU0005,C003,S01,F022,2023-01-05,Completed,68.8,B+,3.25,74.6,Passed,Good,Low Risk
E000117,STU0005,C057,S01,F022,2023-01-21,Completed,87.3,A+,4.0,69.9,Passed,Excellent,Moderate Risk
E000118,STU0005,C057,S03,F022,2023-09-03,Completed,51.8,C+,2.5,73.0,Passed,Satisfactory,Moderate Risk
E000119,STU0005,C003,S03,F022,2023-09-03,Completed,83.3,A+,4.0,92.6,Passed,Excellent,Low Risk
E000120,STU0005,C007,S03,F022,2023-09-04,Withdrawn,76.3,A,3.75,86.2,Passed,Excellent,Low Risk
E000121,STU0005,C019,S03,F022,2023-09-05,Completed,69.6,B+,3.25,70.0,Passed,Good,Moderate Risk
E000122,STU0006,C035,S01,F032,2023-01-05,Completed,59.3,B-,2.75,64.6,Passed,Good,Moderate Risk
E000123,STU0006,C018,S01,F009,2023-01-07,Completed,40.2,D,2.0,95.0,Passed,Satisfactory,Low Risk
E000124,STU0006,C062,S01,F016,2023-01-15,Enrolled,63.6,B,3.0,90.1,Passed,Good,Low Risk
E000125,STU0006,C055,S01,F009,2023-01-10,Enrolled,64.6,B,3.0,74.7,Passed,Good,Low Risk
E000126,STU0006,C062,S02,F016,2023-05-16,Completed,71.5,A-,3.5,77.3,Passed,Good,Low Risk
E000127,STU0006,C035,S02,F016,2023-05-20,Completed,61.0,B,3.0,96.8,Passed,Good,Low Risk
E000128,STU0006,C055,S02,F016,2023-05-02,Enrolled,65.5,B+,3.25,86.4,Passed,Good,Low Risk
E000129,STU0006,C035,S06,F009,2024-09-01,Completed,75.1,A,3.75,78.9,Passed,Excellent,Low Risk
E000130,STU0006,C018,S06,F032,2024-09-19,Completed,44.2,D,2.0,94.7,Passed,Satisfactory,Low Risk
E000131,STU0006,C062,S06,F009,2024-09-14,Completed,59.1,B-,2.75,96.2,Passed,Good,Low Risk
E000132,STU0006,C018,S08,F016,2025-05-12,Completed,75.0,A,3.75,82.7,Passed,Excellent,Low Risk
E000133,STU0006,C055,S08,F016,2025-05-12,Completed,71.3,A-,3.5,71.6,Passed,Good,Moderate Risk
E000134,STU0006,C035,S08,F009,2025-05-17,Completed,51.0,C+,2.5,60.4,Passed,Satisfactory,Moderate Risk
E000135,STU0007,C017,S06,F014,2024-09-14,Completed,51.2,C+,2.5,85.7,Passed,Satisfactory,Low Risk
E000136,STU0007,C063,S06,F011,2024-09-14,Completed,57.7,B-,2.75,79.6,Passed,Satisfactory,Low Risk
E000137,STU0007,C052,S06,F002,2024-09-09,Enrolled,85.2,A+,4.0,80.3,Passed,Excellent,Low Risk
E000138,STU0007,C016,S06,F004,2024-09-14,Completed,78.1,A,3.75,83.7,Passed,Excellent,Low Risk
E000139,STU0007,C002,S06,F011,2024-09-11,Enrolled,70.3,A-,3.5,74.3,Passed,Good,Low Risk
E000140,STU0007,C002,S01,F002,2023-01-20,Enrolled,53.1,C+,2.5,100.0,Passed,Satisfactory,Low Risk
E000141,STU0007,C052,S01,F014,2023-01-14,Completed,69.3,B+,3.25,83.6,Passed,Good,Low Risk
E000142,STU0007,C016,S01,F002,2023-01-19,Withdrawn,60.2,B,3.0,69.0,Passed,Good,Moderate Risk
E000143,STU0007,C017,S01,F021,2023-01-04,Completed,68.6,B+,3.25,94.3,Passed,Good,Low Risk
E000144,STU0007,C017,S09,F004,2025-09-06,Completed,98.0,A+,4.0,90.7,Passed,Excellent,Low Risk
E000145,STU0007,C016,S09,F002,2025-09-14,Completed,72.6,A-,3.5,78.2,Passed,Good,Low Risk
E000146,STU0007,C039,S09,F011,2025-09-03,Completed,68.2,B+,3.25,86.2,Passed,Good,Low Risk
E000147,STU0007,C063,S09,F011,2025-09-15,Withdrawn,66.0,B+,3.25,88.0,Passed,Good,Low Risk
E000148,STU0007,C002,S09,F014,2025-09-15,Enrolled,83.2,A+,4.0,100.0,Passed,Excellent,Low Risk
E000149,STU0007,C016,S08,F011,2025-05-03,Enrolled,38.6,F,0.0,79.0,Failed,At Risk,Low Risk
E000150,STU0007,C002,S08,F002,2025-05-06,Completed,81.4,A+,4.0,90.9,Passed,Excellent,Low Risk
E000151,STU0007,C039,S08,F002,2025-05-20,Completed,100.0,A+,4.0,100.0,Passed,Excellent,Low Risk
E000152,STU0007,C052,S08,F011,2025-05-01,Enrolled,52.6,C+,2.5,70.7,Passed,Satisfactory,Moderate Risk
E000153,STU0007,C063,S08,F011,2025-05-09,Completed,63.2,B,3.0,79.7,Passed,Good,Low Risk
E000154,STU0007,C016,S05,F021,2024-05-12,Enrolled,96.9,A+,4.0,82.0,Passed,Excellent,Low Risk
E000155,STU0007,C052,S05,F014,2024-05-04,Completed,56.7,B-,2.75,74.6,Passed,Satisfactory,Low Risk
E000156,STU0007,C002,S05,F021,2024-05-05,Completed,41.1,D,2.0,80.0,Passed,Satisfactory,Low Risk
E000157,STU0007,C039,S05,F021,2024-05-14,Completed,50.4,C+,2.5,100.0,Passed,Satisfactory,Low Risk
E000158,STU0007,C063,S05,F011,2024-05-12,Enrolled,74.2,A-,3.5,68.7,Passed,Excellent,Moderate Risk
E000159,STU0007,C002,S10,F004,2026-01-15,Withdrawn,32.4,F,0.0,59.0,Failed,At Risk,High Risk
E000160,STU0007,C017,S10,F021,2026-01-20,Completed,97.5,A+,4.0,88.5,Passed,Excellent,Low Risk
E000161,STU0007,C039,S10,F021,2026-01-08,Completed,100.0,A+,4.0,88.8,Passed,Excellent,Low Risk
E000162,STU0007,C016,S04,F021,2024-01-20,Completed,76.4,A,3.75,98.8,Passed,Excellent,Low Risk
E000163,STU0007,C039,S04,F004,2024-01-17,Completed,47.2,C,2.25,98.6,Passed,Satisfactory,Low Risk
E000164,STU0007,C052,S04,F021,2024-01-21,Completed,65.7,B+,3.25,91.1,Passed,Good,Low Risk
E000165,STU0007,C016,S11,F011,2026-05-19,Withdrawn,86.4,A+,4.0,96.4,Passed,Excellent,Low Risk
E000166,STU0007,C039,S11,F004,2026-05-10,Completed,84.0,A+,4.0,95.1,Passed,Excellent,Low Risk
E000167,STU0007,C063,S11,F014,2026-05-02,Completed,76.7,A,3.75,67.3,Passed,Excellent,Moderate Risk
E000168,STU0007,C052,S11,F002,2026-05-10,Withdrawn,56.9,B-,2.75,87.8,Passed,Satisfactory,Low Risk
E000169,STU0007,C017,S11,F004,2026-05-15,Completed,76.7,A,3.75,95.1,Passed,Excellent,Low Risk
E000170,STU0007,C052,S02,F014,2023-05-08,Enrolled,65.1,B+,3.25,83.3,Passed,Good,Low Risk
E000171,STU0007,C002,S02,F011,2023-05-10,Enrolled,66.6,B+,3.25,78.3,Passed,Good,Low Risk
E000172,STU0007,C063,S02,F021,2023-05-05,Withdrawn,74.5,A-,3.5,95.1,Passed,Excellent,Low Risk
E000173,STU0007,C039,S02,F014,2023-05-02,Completed,65.2,B+,3.25,98.7,Passed,Good,Low Risk
E000174,STU0008,C031,S09,F030,2025-09-13,Completed,59.5,B-,2.75,73.0,Passed,Good,Moderate Risk
E000175,STU0008,C053,S09,F024,2025-09-12,Completed,67.1,B+,3.25,75.6,Passed,Good,Low Risk
E000176,STU0008,C008,S09,F024,2025-09-17,Completed,75.6,A,3.75,84.0,Passed,Excellent,Low Risk
E000177,STU0008,C038,S09,F012,2025-09-05,Completed,94.3,A+,4.0,82.6,Passed,Excellent,Low Risk
E000178,STU0008,C059,S09,F029,2025-09-16,Completed,56.9,B-,2.75,100.0,Passed,Satisfactory,Low Risk
E000179,STU0008,C038,S04,F046,2024-01-11,Enrolled,75.0,A,3.75,80.3,Passed,Excellent,Low Risk
E000180,STU0008,C008,S04,F048,2024-01-17,Completed,80.5,A+,4.0,78.7,Passed,Excellent,Low Risk
E000181,STU0008,C053,S04,F030,2024-01-02,Completed,72.7,A-,3.5,63.3,Passed,Good,Moderate Risk
E000182,STU0008,C059,S04,F030,2024-01-07,Withdrawn,59.0,B-,2.75,87.8,Passed,Satisfactory,Low Risk
E000183,STU0008,C031,S04,F018,2024-01-03,Completed,80.5,A+,4.0,90.9,Passed,Excellent,Low Risk
E000184,STU0008,C065,S05,F012,2024-05-15,Completed,72.9,A-,3.5,100.0,Passed,Good,Low Risk
E000185,STU0008,C008,S05,F048,2024-05-20,Enrolled,70.5,A-,3.5,87.3,Passed,Good,Low Risk
E000186,STU0008,C038,S05,F030,2024-05-06,Enrolled,84.2,A+,4.0,100.0,Passed,Excellent,Low Risk
E000187,STU0008,C059,S05,F010,2024-05-11,Completed,64.2,B,3.0,65.3,Passed,Good,Moderate Risk
E000188,STU0008,C053,S10,F024,2026-01-06,Completed,73.1,A-,3.5,73.1,Passed,Good,Moderate Risk
E000189,STU0008,C038,S10,F030,2026-01-15,Completed,57.2,B-,2.75,73.0,Passed,Satisfactory,Moderate Risk
E000190,STU0008,C031,S10,F048,2026-01-04,Completed,78.7,A,3.75,56.5,Passed,Excellent,High Risk
E000191,STU0008,C008,S10,F018,2026-01-20,Completed,66.0,B+,3.25,68.1,Passed,Good,Moderate Risk
E000192,STU0008,C065,S03,F018,2023-09-13,Completed,67.2,B+,3.25,83.5,Passed,Good,Low Risk
E000193,STU0008,C038,S03,F030,2023-09-19,Enrolled,69.4,B+,3.25,82.4,Passed,Good,Low Risk
E000194,STU0008,C053,S03,F030,2023-09-15,Completed,58.1,B-,2.75,97.4,Passed,Satisfactory,Low Risk
E000195,STU0008,C059,S03,F024,2023-09-08,Completed,75.2,A,3.75,84.7,Passed,Excellent,Low Risk
E000196,STU0008,C031,S11,F012,2026-05-20,Completed,71.6,A-,3.5,78.7,Passed,Good,Low Risk
E000197,STU0008,C059,S11,F024,2026-05-17,Completed,77.3,A,3.75,91.3,Passed,Excellent,Low Risk
E000198,STU0008,C053,S11,F012,2026-05-19,Enrolled,40.3,D,2.0,90.8,Passed,Satisfactory,Low Risk
E000199,STU0008,C008,S07,F030,2025-01-05,Completed,81.4,A+,4.0,93.6,Passed,Excellent,Low Risk
E000200,STU0008,C031,S07,F048,2025-01-21,Enrolled,63.4,B,3.0,86.4,Passed,Good,Low Risk
E000201,STU0008,C065,S07,F024,2025-01-19,Completed,61.5,B,3.0,86.8,Passed,Good,Low Risk
E000202,STU0008,C038,S07,F030,2025-01-03,Withdrawn,74.9,A-,3.5,99.5,Passed,Excellent,Low Risk
E000203,STU0008,C008,S02,F029,2023-05-01,Completed,70.4,A-,3.5,81.2,Passed,Good,Low Risk
E000204,STU0008,C065,S02,F029,2023-05-11,Completed,68.1,B+,3.25,98.3,Passed,Good,Low Risk
E000205,STU0008,C059,S02,F024,2023-05-08,Enrolled,56.5,B-,2.75,87.7,Passed,Satisfactory,Low Risk
E000206,STU0008,C053,S02,F024,2023-05-18,Completed,66.4,B+,3.25,69.9,Passed,Good,Moderate Risk
E000207,STU0009,C069,S09,F027,2025-09-05,Completed,49.1,C,2.25,68.6,Passed,Satisfactory,Moderate Risk
E000208,STU0009,C040,S09,F039,2025-09-03,Completed,86.7,A+,4.0,82.3,Passed,Excellent,Low Risk
E000209,STU0009,C068,S09,F050,2025-09-20,Completed,72.7,A-,3.5,69.7,Passed,Good,Moderate Risk
E000210,STU0009,C064,S09,F028,2025-09-16,Completed,68.5,B+,3.25,75.7,Passed,Good,Low Risk
E000211,STU0009,C069,S01,F028,2023-01-07,Enrolled,80.2,A+,4.0,88.0,Passed,Excellent,Low Risk
E000212,STU0009,C068,S01,F039,2023-01-11,Completed,80.6,A+,4.0,95.4,Passed,Excellent,Low Risk
E000213,STU0009,C064,S01,F050,2023-01-17,Enrolled,59.7,B-,2.75,72.0,Passed,Good,Moderate Risk
E000214,STU0009,C068,S04,F028,2024-01-09,Completed,84.7,A+,4.0,77.2,Passed,Excellent,Low Risk
E000215,STU0009,C040,S04,F039,2024-01-01,Completed,58.7,B-,2.75,89.3,Passed,Satisfactory,Low Risk
E000216,STU0009,C064,S04,F050,2024-01-16,Completed,39.0,F,0.0,74.8,Failed,At Risk,Low Risk
E000217,STU0009,C069,S04,F050,2024-01-05,Completed,52.3,C+,2.5,75.6,Passed,Satisfactory,Low Risk
E000218,STU0009,C040,S06,F028,2024-09-09,Enrolled,56.4,B-,2.75,67.2,Passed,Satisfactory,Moderate Risk
E000219,STU0009,C064,S06,F039,2024-09-12,Completed,46.7,C,2.25,69.6,Passed,Satisfactory,Moderate Risk
E000220,STU0009,C069,S06,F050,2024-09-09,Enrolled,81.7,A+,4.0,87.2,Passed,Excellent,Low Risk
E000221,STU0009,C068,S02,F050,2023-05-06,Completed,81.7,A+,4.0,97.1,Passed,Excellent,Low Risk
E000222,STU0009,C040,S02,F050,2023-05-14,Completed,99.3,A+,4.0,90.5,Passed,Excellent,Low Risk
E000223,STU0009,C064,S02,F028,2023-05-13,Enrolled,53.7,C+,2.5,92.2,Passed,Satisfactory,Low Risk
E000224,STU0009,C064,S08,F027,2025-05-16,Completed,70.8,A-,3.5,79.6,Passed,Good,Low Risk
E000225,STU0009,C040,S08,F039,2025-05-18,Completed,55.7,B-,2.75,100.0,Passed,Satisfactory,Low Risk
E000226,STU0009,C069,S08,F027,2025-05-17,Completed,61.8,B,3.0,95.8,Passed,Good,Low Risk
E000227,STU0009,C068,S08,F027,2025-05-12,Completed,85.1,A+,4.0,91.1,Passed,Excellent,Low Risk
E000228,STU0009,C069,S03,F050,2023-09-15,Enrolled,68.7,B+,3.25,77.9,Passed,Good,Low Risk
E000229,STU0009,C040,S03,F039,2023-09-18,Enrolled,41.9,D,2.0,76.8,Passed,Satisfactory,Low Risk
E000230,STU0009,C064,S03,F050,2023-09-09,Completed,81.3,A+,4.0,78.5,Passed,Excellent,Low Risk
E000231,STU0009,C068,S03,F028,2023-09-14,Completed,70.8,A-,3.5,100.0,Passed,Good,Low Risk
E000232,STU0009,C069,S10,F039,2026-01-02,Enrolled,46.2,C,2.25,98.4,Passed,Satisfactory,Low Risk
