PaymentID,StudentID,SemesterID,TotalPayable,AmountPaid,OutstandingAmount,PaymentStatus,PaymentDate,PaymentMethod,Payment Risk Level
P000100,STU0017,S02,60000,60000,0,Paid,2023-05-03,Cash,No Risk
P000101,STU0018,S06,75000,37500,37500,Partial,2024-10-07,Card,High Risk
P000102,STU0018,S09,75000,75000,0,Paid,2025-10-27,Card,No Risk
P000103,STU0018,S08,60000,0,60000,Unpaid,,Bank,High Risk
P000104,STU0018,S02,52000,39000,13000,Partial,2023-05-31,Bank,Moderate Risk
P000105,STU0018,S11,75000,56250,18750,Partial,2026-05-13,Mobile Banking,Moderate Risk
P000106,STU0018,S01,45000,0,45000,Unpaid,,Cash,High Risk
P000107,STU0018,S05,60000,60000,0,Paid,2024-05-05,Card,No Risk
P000108,STU0018,S07,60000,45000,15000,Partial,2025-02-08,Bank,Moderate Risk
P000109,STU0019,S02,68000,68000,0,Paid,2023-06-22,Card,No Risk
P000110,STU0019,S09,52000,26000,26000,Partial,2025-10-04,Card,High Risk
P000111,STU0019,S06,60000,60000,0,Paid,2024-10-17,Bank,No Risk
P000112,STU0019,S08,75000,75000,0,Paid,2025-06-23,Card,No Risk
P000113,STU0019,S04,68000,34000,34000,Partial,2024-01-06,Card,High Risk
P000114,STU0019,S10,45000,22500,22500,Partial,2026-01-03,Bank,High Risk
P000115,STU0019,S07,52000,52000,0,Paid,2025-01-07,Mobile Banking,No Risk
P000116,STU0020,S01,52000,39000,13000,Partial,2023-02-01,Card,Moderate Risk
P000117,STU0020,S08,52000,52000,0,Paid,2025-06-05,Card,No Risk
P000118,STU0020,S11,60000,60000,0,Paid,2026-06-18,Cash,No Risk
P000119,STU0020,S03,75000,0,75000,Unpaid,,Cash,High Risk
P000120,STU0020,S09,75000,75000,0,Paid,2025-10-05,Cash,No Risk
P000121,STU0020,S10,68000,68000,0,Paid,2026-01-17,Bank,No Risk
P000122,STU0020,S04,45000,0,45000,Unpaid,,Card,High Risk
P000123,STU0020,S06,75000,37500,37500,Partial,2024-09-12,Mobile Banking,High Risk
P000124,STU0021,S04,68000,34000,34000,Partial,2024-01-14,Card,High Risk
P000125,STU0021,S11,75000,75000,0,Paid,2026-05-21,Mobile Banking,No Risk
P000126,STU0021,S07,60000,45000,15000,Partial,2025-02-07,Cash,Moderate Risk
P000127,STU0021,S09,68000,68000,0,Paid,2025-10-29,Card,No Risk
P000128,STU0021,S02,52000,39000,13000,Partial,2023-06-22,Card,Moderate Risk
P000129,STU0021,S08,68000,34000,34000,Partial,2025-05-08,Cash,High Risk
P000130,STU0021,S05,75000,75000,0,Paid,2024-06-02,Bank,No Risk
P000131,STU0022,S08,68000,51000,17000,Partial,2025-06-03,Bank,Moderate Risk
P000132,STU0022,S06,52000,26000,26000,Partial,2024-09-02,Mobile Banking,High Risk
P000133,STU0022,S03,68000,0,68000,Unpaid,,Card,High Risk
P000134,STU0022,S05,60000,60000,0,Paid,2024-06-26,Mobile Banking,No Risk
P000135,STU0022,S07,60000,60000,0,Paid,2025-02-20,Card,No Risk
P000136,STU0022,S09,75000,0,75000,Unpaid,,Cash,High Risk
P000137,STU0022,S01,68000,34000,34000,Partial,2023-02-25,Bank,High Risk
P000138,STU0023,S07,52000,52000,0,Paid,2025-02-27,Card,No Risk
P000139,STU0023,S10,45000,22500,22500,Partial,2026-01-23,Bank,High Risk
P000140,STU0023,S02,52000,39000,13000,Partial,2023-05-30,Cash,Moderate Risk
P000141,STU0023,S06,75000,0,75000,Unpaid,,Mobile Banking,High Risk
P000142,STU0024,S11,75000,75000,0,Paid,2026-05-21,Bank,No Risk
P000143,STU0024,S05,75000,0,75000,Unpaid,,Cash,High Risk
P000144,STU0024,S02,60000,60000,0,Paid,2023-06-10,Card,No Risk
P000145,STU0024,S06,75000,75000,0,Paid,2024-10-31,Cash,No Risk
P000146,STU0024,S08,52000,52000,0,Paid,2025-06-02,Card,No Risk
P000147,STU0025,S02,45000,45000,0,Paid,2023-05-28,Mobile Banking,No Risk
P000148,STU0025,S06,60000,30000,30000,Partial,2024-09-13,Cash,High Risk
P000149,STU0025,S10,68000,51000,17000,Partial,2026-02-20,Card,Moderate Risk
P000150,STU0025,S09,68000,51000,17000,Partial,2025-09-19,Mobile Banking,Moderate Risk
P000151,STU0025,S11,45000,33750,11250,Partial,2026-05-06,Bank,Moderate Risk
P000152,STU0026,S07,52000,52000,0,Paid,2025-02-14,Mobile Banking,No Risk
P000153,STU0026,S02,52000,52000,0,Paid,2023-06-04,Mobile Banking,No Risk
P000154,STU0026,S11,75000,75000,0,Paid,2026-05-19,Bank,No Risk
P000155,STU0026,S06,68000,34000,34000,Partial,2024-09-14,Cash,High Risk
P000156,STU0026,S08,68000,0,68000,Unpaid,,Bank,High Risk
P000157,STU0026,S01,75000,56250,18750,Partial,2023-02-22,Card,Moderate Risk
P000158,STU0026,S05,45000,45000,0,Paid,2024-06-04,Bank,No Risk
P000159,STU0027,S05,45000,0,45000,Unpaid,,Card,High Risk
P000160,STU0027,S07,45000,45000,0,Paid,2025-03-01,Bank,No Risk
P000161,STU0027,S09,52000,0,52000,Unpaid,,Cash,High Risk
P000162,STU0027,S10,45000,45000,0,Paid,2026-01-24,Cash,No Risk
P000163,STU0027,S02,45000,22500,22500,Partial,2023-06-19,Cash,High Risk
P000164,STU0027,S03,45000,22500,22500,Partial,2023-09-15,Cash,High Risk
P000165,STU0027,S08,52000,26000,26000,Partial,2025-05-25,Bank,High Risk
P000166,STU0028,S04,52000,52000,0,Paid,2024-01-09,Mobile Banking,No Risk
P000167,STU0028,S02,75000,56250,18750,Partial,2023-05-12,Mobile Banking,Moderate Risk
P000168,STU0028,S07,60000,0,60000,Unpaid,,Card,High Risk
P000169,STU0028,S06,75000,37500,37500,Partial,2024-09-16,Card,High Risk
P000170,STU0029,S11,75000,75000,0,Paid,2026-05-23,Bank,No Risk
P000171,STU0029,S04,52000,26000,26000,Partial,2024-02-06,Card,High Risk
P000172,STU0029,S02,60000,0,60000,Unpaid,,Card,High Risk
P000173,STU0029,S09,52000,26000,26000,Partial,2025-10-23,Card,High Risk
P000174,STU0029,S03,45000,0,45000,Unpaid,,Card,High Risk
P000175,STU0029,S01,52000,26000,26000,Partial,2023-02-26,Cash,High Risk
P000176,STU0029,S06,75000,75000,0,Paid,2024-10-28,Bank,No Risk
P000177,STU0029,S10,45000,33750,11250,Partial,2026-01-28,Mobile Banking,Moderate Risk
P000178,STU0030,S04,52000,39000,13000,Partial,2024-02-12,Bank,Moderate Risk
P000179,STU0030,S07,60000,30000,30000,Partial,2025-02-26,Bank,High Risk
P000180,STU0030,S02,45000,45000,0,Paid,2023-05-03,Card,No Risk
P000181,STU0030,S05,75000,56250,18750,Partial,2024-05-17,Mobile Banking,Moderate Risk
P000182,STU0031,S07,45000,22500,22500,Partial,2025-01-18,Mobile Banking,High Risk
P000183,STU0031,S01,45000,22500,22500,Partial,2023-02-23,Cash,High Risk
P000184,STU0031,S08,52000,0,52000,Unpaid,,Card,High Risk
P000185,STU0031,S04,60000,60000,0,Paid,2024-01-19,Bank,No Risk
P000186,STU0031,S06,52000,52000,0,Paid,2024-09-25,Card,No Risk
P000187,STU0031,S10,68000,0,68000,Unpaid,,Bank,High Risk
P000188,STU0031,S09,45000,0,45000,Unpaid,,Cash,High Risk
P000189,STU0032,S05,60000,45000,15000,Partial,2024-05-09,Card,Moderate Risk
P000190,STU0032,S07,60000,60000,0,Paid,2025-02-09,Cash,No Risk
P000191,STU0032,S04,45000,0,45000,Unpaid,,Card,High Risk
P000192,STU0032,S09,68000,68000,0,Paid,2025-09-29,Cash,No Risk
P000193,STU0033,S05,68000,51000,17000,Partial,2024-05-05,Bank,Moderate Risk
P000194,STU0033,S10,45000,45000,0,Paid,2026-01-06,Card,No Risk
P000195,STU0033,S06,68000,51000,17000,Partial,2024-10-04,Card,Moderate Risk
P000196,STU0033,S08,75000,75000,0,Paid,2025-06-21,Mobile Banking,No Risk
P000197,STU0033,S01,75000,75000,0,Paid,2023-01-25,Cash,No Risk
P000198,STU0033,S02,45000,22500,22500,Partial,2023-05-20,Mobile Banking,High Risk
P000199,STU0033,S11,75000,0,75000,Unpaid,,Cash,High Risk
P000200,STU0034,S07,52000,52000,0,Paid,2025-02-27,Card,No Risk
P000201,STU0034,S08,45000,22500,22500,Partial,2025-06-23,Cash,High Risk
P000202,STU0034,S01,75000,56250,18750,Partial,2023-01-28,Card,Moderate Risk
P000203,STU0034,S06,52000,52000,0,Paid,2024-09-19,Card,No Risk
P000204,STU0034,S04,68000,68000,0,Paid,2024-01-12,Card,No Risk
P000205,STU0035,S09,45000,0,45000,Unpaid,,Card,High Risk
P000206,STU0035,S02,75000,0,75000,Unpaid,,Bank,High Risk
P000207,STU0035,S08,75000,0,75000,Unpaid,,Bank,High Risk
P000208,STU0035,S04,45000,45000,0,Paid,2024-01-22,Card,No Risk
P000209,STU0035,S01,52000,52000,0,Paid,2023-02-28,Mobile Banking,No Risk
P000210,STU0036,S02,75000,75000,0,Paid,2023-06-22,Card,No Risk
P000211,STU0036,S01,52000,39000,13000,Partial,2023-02-09,Card,Moderate Risk
P000212,STU0036,S06,60000,45000,15000,Partial,2024-09-11,Cash,Moderate Risk
P000213,STU0036,S11,68000,68000,0,Paid,2026-05-23,Cash,No Risk
P000214,STU0036,S05,60000,30000,30000,Partial,2024-06-19,Bank,High Risk
P000215,STU0037,S07,52000,52000,0,Paid,2025-01-03,Card,No Risk
P000216,STU0037,S03,45000,0,45000,Unpaid,,Bank,High Risk
P000217,STU0037,S06,45000,0,45000,Unpaid,,Bank,High Risk
P000218,STU0037,S11,75000,75000,0,Paid,2026-06-12,Mobile Banking,No Risk
P000219,STU0037,S10,75000,37500,37500,Partial,2026-01-22,Card,High Risk
P000220,STU0037,S09,75000,75000,0,Paid,2025-09-22,Mobile Banking,No Risk
P000221,STU0037,S04,52000,39000,13000,Partial,2024-01-27,Bank,Moderate Risk
P000222,STU0038,S04,52000,26000,26000,Partial,2024-01-22,Bank,High Risk
P000223,STU0038,S09,60000,30000,30000,Partial,2025-10-04,Cash,High Risk
P000224,STU0038,S11,75000,0,75000,Unpaid,,Card,High Risk
P000225,STU0038,S01,75000,75000,0,Paid,2023-01-03,Cash,No Risk
P000226,STU0038,S08,45000,33750,11250,Partial,2025-05-23,Bank,Moderate Risk
P000227,STU0038,S06,60000,45000,15000,Partial,2024-09-06,Cash,Moderate Risk
P000228,STU0039,S07,60000,0,60000,Unpaid,,Cash,High Risk
P000229,STU0039,S11,52000,26000,26000,Partial,2026-06-27,Bank,High Risk
P000230,STU0039,S08,60000,60000,0,Paid,2025-05-24,Mobile Banking,No Risk
P000231,STU0039,S05,45000,22500,22500,Partial,2024-05-19,Mobile Banking,High Risk
P000232,STU0039,S09,68000,34000,34000,Partial,2025-09-23,Mobile Banking,High Risk
P000233,STU0039,S01,52000,39000,13000,Partial,2023-02-07,Cash,Moderate Risk
P000234,STU0039,S10,52000,52000,0,Paid,2026-01-02,Mobile Banking,No Risk
P000235,STU0040,S09,52000,0,52000,Unpaid,,Card,High Risk
P000236,STU0040,S04,68000,34000,34000,Partial,2024-02-21,Mobile Banking,High Risk
P000237,STU0040,S05,52000,26000,26000,Partial,2024-06-08,Cash,High Risk
P000238,STU0040,S07,75000,37500,37500,Partial,2025-03-01,Card,High Risk
P000239,STU0040,S06,45000,45000,0,Paid,2024-10-11,Bank,No Risk
P000240,STU0041,S11,60000,60000,0,Paid,2026-06-26,Card,No Risk
P000241,STU0041,S01,60000,0,60000,Unpaid,,Cash,High Risk
P000242,STU0041,S02,52000,52000,0,Paid,2023-06-25,Card,No Risk
P000243,STU0041,S09,52000,26000,26000,Partial,2025-09-05,Card,High Risk
P000244,STU0042,S10,75000,0,75000,Unpaid,,Bank,High Risk
P000245,STU0042,S09,52000,39000,13000,Partial,2025-09-19,Bank,Moderate Risk
P000246,STU0042,S05,68000,68000,0,Paid,2024-06-20,Mobile Banking,No Risk
P000247,STU0042,S11,45000,33750,11250,Partial,2026-06-01,Mobile Banking,Moderate Risk
P000248,STU0042,S06,68000,68000,0,Paid,2024-10-22,Bank,No Risk
P000249,STU0042,S04,60000,0,60000,Unpaid,,Bank,High Risk
P000250,STU0043,S06,68000,34000,34000,Partial,2024-09-14,Card,High Risk
P000251,STU0043,S04,60000,60000,0,Paid,2024-01-24,Bank,No Risk
P000252,STU0043,S09,45000,22500,22500,Partial,2025-09-11,Bank,High Risk
P000253,STU0043,S03,52000,26000,26000,Partial,2023-09-16,Cash,High Risk
P000254,STU0044,S03,45000,33750,11250,Partial,2023-09-28,Card,Moderate Risk
P000255,STU0044,S09,45000,33750,11250,Partial,2025-10-31,Card,Moderate Risk
P000256,STU0044,S06,75000,0,75000,Unpaid,,Card,High Risk
P000257,STU0044,S07,45000,33750,11250,Partial,2025-01-30,Cash,Moderate Risk
P000258,STU0044,S08,60000,60000,0,Paid,2025-06-26,Cash,No Risk
P000259,STU0045,S01,45000,0,45000,Unpaid,,Cash,High Risk
P000260,STU0045,S11,45000,22500,22500,Partial,2026-05-29,Cash,High Risk
P000261,STU0045,S09,45000,33750,11250,Partial,2025-09-28,Mobile Banking,Moderate Risk
P000262,STU0045,S07,45000,45000,0,Paid,2025-02-15,Bank,No Risk
P000263,STU0045,S04,52000,0,52000,Unpaid,,Card,High Risk
P000264,STU0045,S10,68000,68000,0,Paid,2026-01-24,Bank,No Risk
P000265,STU0046,S09,45000,33750,11250,Partial,2025-09-09,Bank,Moderate Risk
P000266,STU0046,S08,75000,37500,37500,Partial,2025-06-30,Bank,High Risk
P000267,STU0046,S02,52000,52000,0,Paid,2023-05-06,Bank,No Risk
P000268,STU0046,S11,68000,34000,34000,Partial,2026-06-03,Cash,High Risk
P000269,STU0047,S01,75000,75000,0,Paid,2023-02-26,Card,No Risk
P000270,STU0047,S05,52000,52000,0,Paid,2024-05-14,Mobile Banking,No Risk
P000271,STU0047,S08,52000,52000,0,Paid,2025-05-03,Card,No Risk
P000272,STU0047,S11,52000,39000,13000,Partial,2026-05-23,Mobile Banking,Moderate Risk
P000273,STU0047,S02,68000,51000,17000,Partial,2023-05-17,Cash,Moderate Risk
P000274,STU0048,S03,60000,60000,0,Paid,2023-10-10,Bank,No Risk
P000275,STU0048,S05,68000,68000,0,Paid,2024-05-23,Card,No Risk
P000276,STU0048,S01,75000,37500,37500,Partial,2023-01-31,Card,High Risk
P000277,STU0048,S04,68000,34000,34000,Partial,2024-01-06,Bank,High Risk
P000278,STU0049,S09,75000,75000,0,Paid,2025-10-31,Card,No Risk
P000279,STU0049,S10,75000,0,75000,Unpaid,,Bank,High Risk
P000280,STU0049,S02,75000,0,75000,Unpaid,,Cash,High Risk
P000281,STU0049,S05,75000,75000,0,Paid,2024-05-24,Cash,No Risk
P000282,STU0049,S01,45000,33750,11250,Partial,2023-02-08,Mobile Banking,Moderate Risk
P000283,STU0049,S11,52000,26000,26000,Partial,2026-06-19,Bank,High Risk
P000284,STU0050,S01,52000,52000,0,Paid,2023-02-12,Cash,No Risk
P000285,STU0050,S08,60000,45000,15000,Partial,2025-06-10,Cash,Moderate Risk
P000286,STU0050,S10,45000,33750,11250,Partial,2026-01-15,Cash,Moderate Risk
P000287,STU0050,S11,68000,68000,0,Paid,2026-06-19,Mobile Banking,No Risk
P000288,STU0050,S09,75000,56250,18750,Partial,2025-09-25,Mobile Banking,Moderate Risk
P000289,STU0050,S05,45000,22500,22500,Partial,2024-05-21,Cash,High Risk
P000290,STU0050,S04,68000,51000,17000,Partial,2024-02-18,Card,Moderate Risk
P000291,STU0050,S03,52000,52000,0,Paid,2023-09-03,Card,No Risk
P000292,STU0051,S07,52000,39000,13000,Partial,2025-01-01,Bank,Moderate Risk
P000293,STU0051,S11,45000,22500,22500,Partial,2026-06-04,Mobile Banking,High Risk
P000294,STU0051,S04,45000,45000,0,Paid,2024-01-18,Cash,No Risk
P000295,STU0051,S03,52000,0,52000,Unpaid,,Bank,High Risk
P000296,STU0052,S04,75000,37500,37500,Partial,2024-02-16,Card,High Risk
P000297,STU0052,S10,60000,0,60000,Unpaid,,Mobile Banking,High Risk
P000298,STU0052,S11,68000,34000,34000,Partial,2026-06-17,Bank,High Risk
P000299,STU0052,S03,45000,45000,0,Paid,2023-09-03,Bank,No Risk
P000300,STU0052,S06,52000,52000,0,Paid,2024-10-28,Mobile Banking,No Risk
P000301,STU0052,S01,52000,0,52000,Unpaid,,Mobile Banking,High Risk
P000302,STU0053,S05,45000,45000,0,Paid,2024-06-24,Bank,No Risk
P000303,STU0053,S03,45000,45000,0,Paid,2023-10-01,Card,No Risk
P000304,STU0053,S09,45000,0,45000,Unpaid,,Cash,High Risk
P000305,STU0053,S08,52000,52000,0,Paid,2025-05-24,Card,No Risk
P000306,STU0053,S07,52000,26000,26000,Partial,2025-02-16,Cash,High Risk
P000307,STU0053,S11,68000,34000,34000,Partial,2026-06-08,Bank,High Risk
P000308,STU0053,S02,45000,45000,0,Paid,2023-05-31,Mobile Banking,No Risk
P000309,STU0054,S06,60000,60000,0,Paid,2024-10-01,Bank,No Risk
P000310,STU0054,S11,52000,26000,26000,Partial,2026-05-15,Bank,High Risk
P000311,STU0054,S10,60000,45000,15000,Partial,2026-02-22,Card,Moderate Risk
P000312,STU0054,S02,60000,60000,0,Paid,2023-06-15,Card,No Risk
P000313,STU0054,S09,52000,52000,0,Paid,2025-10-17,Bank,No Risk
P000314,STU0054,S07,75000,0,75000,Unpaid,,Mobile Banking,High Risk
P000315,STU0054,S03,75000,0,75000,Unpaid,,Cash,High Risk
P000316,STU0054,S08,60000,30000,30000,Partial,2025-06-17,Cash,High Risk
P000317,STU0055,S06,52000,52000,0,Paid,2024-10-05,Cash,No Risk
P000318,STU0055,S05,45000,22500,22500,Partial,2024-06-22,Card,High Risk
P000319,STU0055,S02,75000,75000,0,Paid,2023-06-21,Mobile Banking,No Risk
P000320,STU0055,S01,52000,39000,13000,Partial,2023-01-30,Mobile Banking,Moderate Risk
P000321,STU0055,S09,52000,52000,0,Paid,2025-09-26,Cash,No Risk
P000322,STU0055,S03,52000,0,52000,Unpaid,,Bank,High Risk
P000323,STU0055,S08,68000,68000,0,Paid,2025-06-27,Cash,No Risk
P000324,STU0056,S01,45000,0,45000,Unpaid,,Card,High Risk
P000325,STU0056,S07,68000,51000,17000,Partial,2025-02-18,Cash,Moderate Risk
P000326,STU0056,S04,75000,37500,37500,Partial,2024-01-28,Mobile Banking,High Risk
P000327,STU0056,S10,60000,60000,0,Paid,2026-02-19,Mobile Banking,No Risk
P000328,STU0056,S08,68000,0,68000,Unpaid,,Cash,High Risk
P000329,STU0056,S09,75000,37500,37500,Partial,2025-10-19,Bank,High Risk
P000330,STU0056,S06,52000,52000,0,Paid,2024-09-11,Card,No Risk
P000331,STU0057,S01,52000,39000,13000,Partial,2023-01-15,Bank,Moderate Risk
P000332,STU0057,S06,60000,30000,30000,Partial,2024-10-24,Cash,High Risk
P000333,STU0057,S03,52000,39000,13000,Partial,2023-10-25,Bank,Moderate Risk
P000334,STU0057,S08,75000,0,75000,Unpaid,,Card,High Risk
P000335,STU0057,S10,45000,0,45000,Unpaid,,Card,High Risk
P000336,STU0057,S05,68000,68000,0,Paid,2024-06-24,Mobile Banking,No Risk
P000337,STU0058,S05,68000,68000,0,Paid,2024-05-07,Bank,No Risk
P000338,STU0058,S09,68000,68000,0,Paid,2025-09-17,Card,No Risk
P000339,STU0058,S08,52000,52000,0,Paid,2025-05-06,Bank,No Risk
P000340,STU0058,S10,68000,68000,0,Paid,2026-02-24,Card,No Risk
P000341,STU0058,S04,60000,30000,30000,Partial,2024-01-02,Cash,High Risk
P000342,STU0058,S01,75000,75000,0,Paid,2023-02-04,Mobile Banking,No Risk
