AttendanceID,EnrollmentID,AttendanceDate,AttendanceStatus,ClassType,ClassDuration
A0000129,E005876,2026-02-09,Present,Tutorial,1.0
A0000130,E005876,2026-01-15,Absent,Lecture,1.5
A0000131,E005876,2026-02-01,Excused,Tutorial,3.0
A0000132,E006613,2024-12-09,Present,Lecture,3.0
A0000133,E006613,2024-10-13,Present,Lecture,3.0
A0000134,E006613,2024-10-28,Present,Lab,2.0
A0000135,E006613,2024-10-24,Present,Lecture,1.5
A0000136,E006613,2024-09-20,Absent,Lab,2.0
A0000137,E006613,2024-11-08,Present,Lecture,3.0
A0000138,E003274,2023-02-04,Present,Tutorial,2.0
A0000139,E003274,2023-03-12,Present,Lecture,2.0
A0000140,E003274,2023-01-23,Present,Lecture,1.0
A0000141,E003274,2023-01-26,Present,Lab,1.0
A0000142,E003274,2023-03-02,Present,Lab,1.0
A0000143,E003905,2025-03-19,Present,Lecture,3.0
A0000144,E003905,2025-03-20,Present,Lab,1.0
A0000145,E003905,2025-02-15,Present,Tutorial,2.0
A0000146,E003905,2025-01-16,Excused,Lecture,1.5
A0000147,E003905,2025-01-15,Present,Tutorial,1.5
A0000148,E001477,2025-01-08,Present,Tutorial,1.0
A0000149,E001477,2025-03-15,Present,Lab,1.0
A0000150,E001477,2025-03-07,Present,Lecture,1.0
A0000151,E001477,2025-03-19,Present,Lecture,1.5
A0000152,E001477,2025-02-23,Present,Lecture,1.5
A0000153,E001477,2025-01-17,Present,Lecture,2.0
A0000154,E001477,2025-02-28,Present,Lecture,1.0
A0000155,E010122,2026-01-16,Present,Lab,3.0
A0000156,E010122,2026-02-22,Present,Tutorial,1.5
A0000157,E010122,2026-02-03,Present,Tutorial,1.0
A0000158,E010122,2026-03-13,Present,Tutorial,1.5
A0000159,E010122,2026-02-01,Present,Lab,2.0
A0000160,E010122,2026-01-23,Present,Tutorial,1.5
A0000161,E010122,2026-02-11,Present,Lecture,3.0
A0000162,E003409,2023-12-01,Present,Lab,1.5
A0000163,E003409,2023-12-02,Present,Tutorial,1.0
A0000164,E003409,2023-12-10,Present,Lecture,2.0
A0000165,E003409,2023-10-10,Present,Lecture,1.5
A0000166,E003409,2023-11-01,Absent,Lecture,1.5
A0000167,E006902,2025-11-03,Present,Lecture,1.5
A0000168,E006902,2025-09-26,Present,Lecture,1.0
A0000169,E006902,2025-10-27,Present,Lecture,3.0
A0000170,E006902,2025-10-22,Excused,Lab,1.0
A0000171,E006902,2025-12-03,Present,Lab,2.0
A0000172,E006902,2025-12-09,Present,Lecture,3.0
A0000173,E003294,2025-05-23,Present,Lab,1.0
A0000174,E003294,2025-08-09,Present,Lab,1.5
A0000175,E003294,2025-05-14,Absent,Tutorial,1.5
A0000176,E003294,2025-06-16,Present,Lecture,1.0
A0000177,E003294,2025-06-27,Absent,Lab,1.5
A0000178,E003294,2025-05-09,Late,Tutorial,3.0
A0000179,E003294,2025-07-15,Present,Tutorial,2.0
A0000180,E003294,2025-07-07,Present,Tutorial,1.5
A0000181,E000721,2025-09-09,Absent,Tutorial,1.5
A0000182,E000721,2025-10-31,Absent,Tutorial,1.5
A0000183,E000721,2025-10-05,Absent,Tutorial,1.5
A0000184,E000721,2025-09-18,Absent,Tutorial,3.0
A0000185,E000721,2025-09-23,Present,Lab,1.0
A0000186,E000721,2025-09-11,Present,Lecture,2.0
A0000187,E009079,2026-02-13,Late,Lecture,3.0
A0000188,E009079,2026-01-29,Absent,Tutorial,1.0
A0000189,E009079,2026-02-05,Present,Lab,2.0
A0000190,E009079,2026-03-06,Absent,Lab,2.0
A0000191,E009079,2026-02-28,Present,Tutorial,1.5
A0000192,E001569,2023-05-10,Absent,Lab,3.0
A0000193,E001569,2023-05-07,Absent,Lecture,1.0
A0000194,E001569,2023-07-26,Present,Tutorial,3.0
A0000195,E001569,2023-07-12,Present,Lecture,2.0
A0000196,E001569,2023-05-11,Present,Lecture,2.0
A0000197,E001569,2023-06-14,Present,Lab,1.0
A0000198,E001569,2023-05-09,Absent,Lecture,2.0
A0000199,E001569,2023-06-21,Present,Lecture,2.0
A0000200,E011029,2026-07-21,Present,Lab,3.0
A0000201,E011029,2026-06-28,Present,Tutorial,3.0
A0000202,E011029,2026-06-14,Present,Tutorial,1.5
A0000203,E011029,2026-07-23,Present,Tutorial,1.0
A0000204,E011029,2026-07-03,Present,Tutorial,1.5
A0000205,E011029,2026-06-20,Present,Lecture,3.0
A0000206,E008041,2023-08-05,Present,Lab,1.5
A0000207,E008041,2023-08-05,Present,Lecture,1.5
A0000208,E008041,2023-07-19,Present,Lecture,1.5
A0000209,E008041,2023-07-07,Present,Tutorial,1.5
A0000210,E008041,2023-05-14,Absent,Lab,1.5
A0000211,E008041,2023-07-26,Late,Lab,3.0
A0000212,E008041,2023-07-25,Present,Lecture,2.0
A0000213,E008041,2023-07-10,Absent,Lab,1.5
A0000214,E010485,2024-01-01,Present,Lab,3.0
A0000215,E010485,2024-03-26,Present,Tutorial,3.0
A0000216,E010485,2024-03-23,Present,Lecture,2.0
A0000217,E010485,2024-01-20,Present,Lecture,2.0
A0000218,E010485,2024-01-03,Present,Lab,1.0
A0000219,E010485,2024-01-22,Present,Tutorial,1.0
A0000220,E009217,2023-09-02,Present,Lab,1.0
A0000221,E009217,2023-12-03,Present,Lecture,2.0
A0000222,E009217,2023-10-09,Present,Lecture,2.0
A0000223,E009217,2023-09-21,Present,Lab,1.0
A0000224,E009217,2023-09-26,Present,Lecture,2.0
A0000225,E009217,2023-11-01,Present,Lab,1.0
A0000226,E009217,2023-10-17,Present,Lab,2.0
A0000227,E009217,2023-11-20,Present,Tutorial,1.0
A0000228,E000923,2024-01-17,Present,Tutorial,2.0
A0000229,E000923,2024-03-02,Present,Lab,1.5
A0000230,E000923,2024-02-06,Present,Lecture,2.0
A0000231,E000923,2024-03-29,Late,Tutorial,2.0
A0000232,E000923,2024-04-04,Present,Lab,2.0
A0000233,E000923,2024-02-02,Present,Lecture,2.0
A0000234,E000923,2024-04-09,Present,Lecture,3.0
A0000235,E000923,2024-02-09,Present,Lecture,2.0
A0000236,E004284,2025-09-15,Excused,Tutorial,2.0
A0000237,E004284,2025-09-12,Absent,Lab,3.0
A0000238,E004284,2025-11-04,Present,Lecture,1.5
A0000239,E004284,2025-11-07,Absent,Lab,1.0
A0000240,E004284,2025-09-25,Present,Lecture,3.0
A0000241,E004284,2025-12-08,Absent,Tutorial,1.5
A0000242,E004284,2025-11-16,Present,Lecture,3.0
A0000243,E004284,2025-11-23,Absent,Lab,3.0
A0000244,E003938,2024-07-27,Late,Tutorial,1.5
A0000245,E003938,2024-05-19,Present,Lab,1.0
A0000246,E003938,2024-07-13,Present,Lecture,3.0
A0000247,E003938,2024-07-07,Present,Tutorial,1.0
A0000248,E003938,2024-06-24,Absent,Lab,1.0
A0000249,E010022,2023-03-22,Present,Lab,3.0
A0000250,E010022,2023-02-04,Present,Lecture,1.5
A0000251,E010022,2023-02-15,Excused,Lecture,1.0
A0000252,E010022,2023-03-03,Absent,Tutorial,2.0
A0000253,E010022,2023-01-11,Present,Lecture,1.5
A0000254,E002017,2025-09-24,Present,Tutorial,2.0
A0000255,E002017,2025-10-02,Absent,Lab,1.5
A0000256,E002017,2025-11-12,Present,Lecture,3.0
A0000257,E002017,2025-09-08,Present,Lecture,2.0
A0000258,E002017,2025-09-29,Late,Lecture,3.0
A0000259,E002017,2025-11-11,Present,Lab,1.0
A0000260,E002017,2025-11-22,Absent,Tutorial,2.0
A0000261,E001327,2026-01-24,Present,Lab,2.0
A0000262,E001327,2026-03-27,Present,Lab,1.0
A0000263,E001327,2026-04-09,Present,Lecture,2.0
A0000264,E001327,2026-03-28,Late,Lecture,1.5
A0000265,E001327,2026-02-11,Present,Lab,1.5
A0000266,E001327,2026-01-06,Absent,Lecture,1.5
A0000267,E007503,2023-11-02,Present,Lab,2.0
A0000268,E007503,2023-11-13,Present,Tutorial,1.5
A0000269,E007503,2023-09-01,Present,Lab,3.0
A0000270,E007503,2023-11-14,Late,Lab,1.0
A0000271,E007503,2023-09-18,Present,Lecture,3.0
A0000272,E007503,2023-09-05,Present,Lab,2.0
A0000273,E007503,2023-10-27,Present,Lecture,2.0
A0000274,E005233,2025-11-21,Present,Lab,1.0
A0000275,E005233,2025-09-30,Present,Tutorial,3.0
A0000276,E005233,2025-10-02,Present,Lecture,1.0
A0000277,E005233,2025-10-06,Present,Tutorial,2.0
A0000278,E005233,2025-09-15,Present,Tutorial,3.0
A0000279,E005233,2025-11-01,Present,Tutorial,3.0
A0000280,E005233,2025-10-20,Present,Lab,3.0
A0000281,E005233,2025-12-08,Absent,Lab,1.5
A0000282,E010575,2026-07-10,Present,Tutorial,1.0
A0000283,E010575,2026-05-22,Present,Lab,1.5
A0000284,E010575,2026-05-29,Present,Lecture,1.5
A0000285,E010575,2026-06-13,Present,Lecture,2.0
A0000286,E010575,2026-07-21,Present,Lab,1.5
A0000287,E010575,2026-05-16,Present,Lab,1.5
A0000288,E009977,2025-07-08,Present,Lab,2.0
A0000289,E009977,2025-07-30,Present,Lecture,1.5
A0000290,E009977,2025-06-15,Present,Lab,3.0
A0000291,E009977,2025-07-15,Late,Lab,2.0
A0000292,E009977,2025-05-13,Present,Lecture,2.0
A0000293,E009054,2023-05-04,Present,Lecture,1.0
A0000294,E009054,2023-08-08,Present,Tutorial,2.0
A0000295,E009054,2023-05-19,Late,Lab,1.5
A0000296,E009054,2023-06-29,Present,Lecture,1.5
A0000297,E009054,2023-05-27,Present,Lab,1.5
A0000298,E009054,2023-06-09,Present,Lab,2.0
A0000299,E009054,2023-07-30,Late,Lab,2.0
A0000300,E009184,2026-01-04,Present,Lecture,3.0
A0000301,E009184,2026-03-22,Present,Lecture,3.0
A0000302,E009184,2026-02-27,Present,Lecture,2.0
A0000303,E009184,2026-02-24,Present,Lab,1.0
A0000304,E009184,2026-04-08,Present,Lab,1.0
A0000305,E009184,2026-04-07,Present,Tutorial,1.5
A0000306,E002724,2026-04-08,Present,Tutorial,3.0
A0000307,E002724,2026-03-04,Present,Lecture,1.5
A0000308,E002724,2026-03-31,Present,Tutorial,3.0
A0000309,E002724,2026-03-19,Present,Lecture,2.0
A0000310,E002724,2026-02-20,Present,Tutorial,1.5
A0000311,E002724,2026-03-05,Present,Lecture,2.0
A0000312,E002724,2026-01-25,Present,Lecture,1.5
A0000313,E002724,2026-03-18,Present,Tutorial,1.0
A0000314,E003067,2025-09-26,Present,Tutorial,3.0
A0000315,E003067,2025-10-31,Present,Lecture,1.0
A0000316,E003067,2025-09-18,Present,Lab,1.5
A0000317,E003067,2025-10-08,Present,Lab,2.0
A0000318,E003067,2025-11-02,Present,Lecture,1.0
A0000319,E003067,2025-11-13,Absent,Tutorial,1.0
A0000320,E001934,2025-03-23,Present,Lab,1.0
A0000321,E001934,2025-03-04,Present,Tutorial,3.0
A0000322,E001934,2025-02-23,Present,Tutorial,1.0
A0000323,E001934,2025-02-02,Present,Lecture,2.0
A0000324,E001934,2025-02-26,Present,Tutorial,1.0
A0000325,E001934,2025-01-16,Present,Lab,1.0
A0000326,E007080,2024-09-04,Present,Lecture,3.0
A0000327,E007080,2024-10-07,Excused,Lab,1.0
A0000328,E007080,2024-10-15,Present,Lab,1.5
A0000329,E007080,2024-09-02,Present,Tutorial,2.0
A0000330,E007080,2024-10-10,Late,Tutorial,2.0
A0000331,E007080,2024-09-26,Late,Lecture,1.5
A0000332,E007080,2024-11-27,Absent,Lecture,2.0
A0000333,E007080,2024-09-03,Absent,Tutorial,2.0
A0000334,E004863,2026-07-04,Present,Tutorial,1.5
A0000335,E004863,2026-05-19,Present,Lecture,3.0
A0000336,E004863,2026-07-29,Present,Lab,3.0
A0000337,E004863,2026-05-10,Late,Tutorial,1.0
A0000338,E004863,2026-05-13,Present,Lab,1.5
A0000339,E004863,2026-06-11,Present,Lecture,2.0
A0000340,E004863,2026-06-05,Present,Lab,2.0
A0000341,E005713,2023-10-26,Present,Lecture,1.5
A0000342,E005713,2023-11-15,Present,Tutorial,3.0
A0000343,E005713,2023-11-14,Present,Lab,1.5
A0000344,E005713,2023-11-03,Present,Tutorial,3.0
A0000345,E005713,2023-11-24,Present,Tutorial,2.0
A0000346,E005713,2023-10-09,Present,Tutorial,2.0
A0000347,E010589,2024-01-30,Present,Lecture,3.0
A0000348,E010589,2024-02-23,Present,Tutorial,3.0
A0000349,E010589,2024-03-13,Present,Tutorial,1.0
A0000350,E010589,2024-04-01,Present,Lab,1.0
A0000351,E010589,2024-01-15,Absent,Tutorial,3.0
A0000352,E010589,2024-04-05,Present,Lab,2.0
A0000353,E010589,2024-02-15,Present,Lab,2.0
A0000354,E008212,2024-11-04,Present,Lab,1.0
A0000355,E008212,2024-11-19,Present,Lecture,1.0
A0000356,E008212,2024-10-15,Absent,Tutorial,1.0
A0000357,E008212,2024-10-03,Present,Tutorial,2.0
A0000358,E008212,2024-11-28,Present,Lab,3.0
A0000359,E008212,2024-11-07,Present,Lecture,1.5
A0000360,E008212,2024-09-14,Absent,Tutorial,1.0
A0000361,E003366,2025-02-26,Present,Tutorial,1.5
A0000362,E003366,2025-02-09,Excused,Lecture,1.0
A0000363,E003366,2025-02-10,Present,Lab,3.0
A0000364,E003366,2025-03-11,Present,Lecture,1.0
A0000365,E003366,2025-01-23,Absent,Lecture,2.0
A0000366,E003366,2025-04-07,Present,Lecture,3.0
A0000367,E003366,2025-02-23,Absent,Lab,3.0
A0000368,E003366,2025-02-11,Absent,Lecture,1.0
A0000369,E011298,2023-05-24,Present,Lab,1.0
A0000370,E011298,2023-07-15,Present,Lecture,3.0
A0000371,E011298,2023-05-05,Present,Lecture,1.0
A0000372,E011298,2023-07-13,Present,Lab,2.0
A0000373,E011298,2023-05-29,Present,Tutorial,3.0
A0000374,E001878,2024-05-27,Present,Lecture,1.5
A0000375,E001878,2024-05-30,Late,Lab,1.0
A0000376,E001878,2024-06-02,Present,Lab,1.5
A0000377,E001878,2024-05-19,Absent,Lab,1.5
A0000378,E001878,2024-07-08,Present,Tutorial,2.0
A0000379,E009010,2024-07-31,Present,Tutorial,1.5
A0000380,E009010,2024-07-22,Present,Lecture,1.0
A0000381,E009010,2024-07-07,Present,Lecture,1.0
A0000382,E009010,2024-05-21,Present,Lecture,1.5
A0000383,E009010,2024-06-06,Present,Tutorial,1.0
A0000384,E007323,2023-12-09,Present,Lab,2.0
A0000385,E007323,2023-10-12,Present,Lecture,2.0
A0000386,E007323,2023-10-31,Present,Lab,1.5
A0000387,E007323,2023-12-09,Absent,Lab,3.0
A0000388,E007323,2023-09-23,Present,Tutorial,1.0
A0000389,E007323,2023-10-26,Absent,Lecture,2.0
A0000390,E007323,2023-09-03,Present,Lab,2.0
A0000391,E007323,2023-10-14,Present,Lecture,3.0
A0000392,E004431,2025-11-02,Absent,Lab,2.0
A0000393,E004431,2025-09-01,Present,Lecture,3.0
A0000394,E004431,2025-09-26,Absent,Lecture,1.0
A0000395,E004431,2025-11-13,Present,Lecture,2.0
A0000396,E004431,2025-11-25,Absent,Tutorial,1.0
A0000397,E004431,2025-09-27,Present,Tutorial,1.5
A0000398,E004431,2025-11-03,Present,Lab,1.0
A0000399,E003805,2023-01-01,Present,Tutorial,1.0
A0000400,E003805,2023-02-01,Absent,Lab,1.0
A0000401,E003805,2023-02-28,Present,Lab,2.0
A0000402,E003805,2023-03-08,Present,Tutorial,2.0
A0000403,E003805,2023-01-27,Present,Lecture,3.0
A0000404,E003805,2023-03-09,Present,Lab,1.0
A0000405,E003805,2023-01-08,Present,Tutorial,3.0
A0000406,E002595,2024-10-29,Excused,Tutorial,1.5
A0000407,E002595,2024-10-15,Present,Tutorial,3.0
A0000408,E002595,2024-10-12,Present,Lecture,1.5
A0000409,E002595,2024-11-02,Present,Tutorial,1.0
A0000410,E002595,2024-09-08,Present,Lab,3.0
A0000411,E008448,2023-11-18,Present,Lab,3.0
A0000412,E008448,2023-10-26,Present,Lecture,1.5
A0000413,E008448,2023-09-16,Absent,Lab,3.0
A0000414,E008448,2023-09-02,Present,Tutorial,1.0
A0000415,E008448,2023-11-16,Present,Lecture,3.0
A0000416,E008448,2023-09-22,Present,Tutorial,1.5
A0000417,E008448,2023-12-02,Present,Lab,1.0
A0000418,E008448,2023-11-14,Present,Lecture,3.0
A0000419,E004808,2023-02-10,Present,Lab,3.0
A0000420,E004808,2023-03-22,Present,Tutorial,3.0
A0000421,E004808,2023-01-14,Present,Lecture,1.5
A0000422,E004808,2023-01-29,Absent,Lecture,1.0
A0000423,E004808,2023-02-28,Present,Tutorial,1.0
A0000424,E004808,2023-03-14,Present,Tutorial,2.0
A0000425,E006202,2023-12-10,Excused,Tutorial,3.0
A0000426,E006202,2023-09-03,Present,Tutorial,1.5
A0000427,E006202,2023-09-04,Present,Lab,2.0
A0000428,E006202,2023-11-22,Present,Lecture,1.0
A0000429,E006202,2023-09-05,Present,Lab,1.0
A0000430,E006202,2023-10-18,Present,Tutorial,3.0
A0000431,E006202,2023-10-29,Present,Lecture,1.0
A0000432,E006202,2023-11-25,Present,Tutorial,2.0
A0000433,E010467,2024-07-25,Present,Lab,3.0
A0000434,E010467,2024-07-13,Present,Tutorial,3.0
A0000435,E010467,2024-07-07,Present,Lecture,1.0
A0000436,E010467,2024-06-19,Present,Tutorial,3.0
A0000437,E010467,2024-06-05,Present,Lecture,2.0
A0000438,E010467,2024-08-04,Present,Lecture,2.0
A0000439,E003261,2025-10-01,Present,Lecture,1.5
A0000440,E003261,2025-12-02,Present,Lecture,1.5
A0000441,E003261,2025-11-16,Present,Lab,1.5
A0000442,E003261,2025-09-23,Present,Lab,1.5
A0000443,E003261,2025-11-02,Present,Lab,2.0
A0000444,E007513,2025-03-10,Present,Tutorial,3.0
A0000445,E007513,2025-04-04,Present,Lab,3.0
A0000446,E007513,2025-02-02,Present,Lab,1.0
A0000447,E007513,2025-02-26,Present,Tutorial,1.0
A0000448,E007513,2025-01-14,Present,Lab,3.0
A0000449,E001782,2025-03-26,Present,Tutorial,2.0
A0000450,E001782,2025-04-01,Present,Tutorial,1.5
A0000451,E001782,2025-03-21,Present,Tutorial,1.5
A0000452,E001782,2025-03-27,Excused,Lab,3.0
A0000453,E001782,2025-01-26,Present,Tutorial,3.0
A0000454,E001782,2025-01-19,Absent,Tutorial,3.0
A0000455,E001782,2025-02-11,Late,Tutorial,2.0
A0000456,E004044,2025-05-05,Absent,Lab,2.0
A0000457,E004044,2025-05-28,Late,Lab,1.0
A0000458,E004044,2025-06-20,Present,Lecture,1.5
A0000459,E004044,2025-05-06,Absent,Lecture,2.0
A0000460,E004044,2025-05-11,Late,Tutorial,2.0
A0000461,E001221,2026-06-17,Absent,Lecture,1.5
A0000462,E001221,2026-05-25,Present,Lecture,3.0
A0000463,E001221,2026-05-18,Present,Lecture,2.0
A0000464,E001221,2026-06-12,Present,Lecture,3.0
A0000465,E001221,2026-07-07,Absent,Lecture,3.0
A0000466,E001221,2026-06-07,Present,Lab,2.0
A0000467,E001221,2026-07-27,Present,Tutorial,1.0
A0000468,E011653,2026-06-18,Present,Lecture,1.0
A0000469,E011653,2026-06-04,Present,Lecture,1.0
A0000470,E011653,2026-05-13,Excused,Lecture,3.0
A0000471,E011653,2026-06-28,Present,Tutorial,1.5
A0000472,E011653,2026-08-03,Late,Lab,3.0
A0000473,E011653,2026-05-28,Present,Tutorial,2.0
A0000474,E011653,2026-05-11,Present,Lecture,1.0
A0000475,E007813,2023-09-13,Late,Tutorial,3.0
A0000476,E007813,2023-11-21,Present,Lecture,2.0
A0000477,E007813,2023-10-23,Present,Lecture,2.0
A0000478,E007813,2023-10-09,Present,Lecture,3.0
A0000479,E007813,2023-09-02,Present,Lecture,1.0
A0000480,E001647,2023-02-18,Present,Lecture,1.0
A0000481,E001647,2023-03-12,Present,Lecture,1.5
A0000482,E001647,2023-01-17,Late,Lab,3.0
A0000483,E001647,2023-01-26,Present,Lab,2.0
A0000484,E001647,2023-01-20,Present,Lecture,1.0
A0000485,E001647,2023-03-06,Excused,Lab,3.0
A0000486,E001647,2023-01-17,Present,Lecture,3.0
A0000487,E004582,2025-05-30,Present,Lecture,1.5
A0000488,E004582,2025-07-12,Absent,Tutorial,1.0
A0000489,E004582,2025-05-21,Present,Tutorial,3.0
A0000490,E004582,2025-08-06,Present,Lecture,1.5
A0000491,E004582,2025-07-14,Present,Lab,3.0
A0000492,E007238,2024-03-12,Present,Tutorial,1.0
A0000493,E007238,2024-03-12,Present,Lab,1.5
A0000494,E007238,2024-03-02,Present,Lab,1.0
