PaymentID,StudentID,SemesterID,TotalPayable,AmountPaid,OutstandingAmount,PaymentStatus,PaymentDate,PaymentMethod
P000052,STU0009,S08,68000,0.0,68000.0,Unpaid,,Cash
P000053,STU0009,S11,45000,22500.0,22500.0,Partial,2026-06-27,Card
P000054,STU0009,S03,75000,56250.0,18750.0,Partial,2023-10-05,Bank
P000055,STU0009,S07,68000,68000.0,0.0,Paid,2025-02-02,Bank
P000056,STU0010,S10,52000,39000.0,13000.0,Partial,2026-01-24,Bank
P000057,STU0010,S09,60000,0.0,60000.0,Unpaid,,Cash
P000058,STU0010,S06,45000,45000.0,0.0,Paid,2024-10-26,Card
P000059,STU0010,S08,68000,34000.0,34000.0,Partial,2025-05-10,Mobile Banking
P000060,STU0010,S03,52000,52000.0,0.0,Paid,2023-10-04,Cash
P000061,STU0010,S01,45000,22500.0,22500.0,Partial,2023-01-10,Bank
P000062,STU0010,S07,68000,51000.0,17000.0,Partial,2025-02-16,Cash
P000063,STU0011,S01,75000,75000.0,0.0,Paid,2023-01-16,Cash
P000064,STU0011,S03,52000,52000.0,0.0,Paid,2023-09-20,Cash
P000065,STU0011,S05,60000,30000.0,30000.0,Partial,2024-05-23,Cash
P000066,STU0011,S11,75000,75000.0,0.0,Paid,2026-06-09,Mobile Banking
P000067,STU0011,S07,60000,45000.0,15000.0,Partial,2025-01-11,Cash
P000068,STU0011,S04,60000,60000.0,0.0,Paid,2024-01-26,Card
P000069,STU0012,S07,68000,0.0,68000.0,Unpaid,,Cash
P000070,STU0012,S02,45000,45000.0,0.0,Paid,2023-05-29,Cash
P000071,STU0012,S04,60000,0.0,60000.0,Unpaid,,Cash
P000072,STU0012,S06,52000,52000.0,0.0,Paid,2024-10-03,Mobile Banking
P000073,STU0012,S03,52000,26000.0,26000.0,Partial,2023-10-07,Card
P000074,STU0013,S07,45000,0.0,45000.0,Unpaid,,Bank
P000075,STU0013,S11,52000,52000.0,0.0,Paid,2026-06-19,Mobile Banking
P000076,STU0013,S08,52000,26000.0,26000.0,Partial,2025-05-21,Card
P000077,STU0013,S04,52000,0.0,52000.0,Unpaid,,Cash
P000078,STU0013,S09,60000,0.0,60000.0,Unpaid,,Card
P000079,STU0013,S03,45000,0.0,45000.0,Unpaid,,Mobile Banking
P000080,STU0013,S05,45000,0.0,45000.0,Unpaid,,Bank
P000081,STU0014,S03,52000,52000.0,0.0,Paid,2023-09-24,Cash
P000082,STU0014,S01,60000,0.0,60000.0,Unpaid,,Bank
P000083,STU0014,S04,60000,30000.0,30000.0,Partial,2024-02-13,Card
P000084,STU0014,S05,68000,68000.0,0.0,Paid,2024-06-06,Cash
P000085,STU0014,S09,45000,33750.0,11250.0,Partial,2025-10-02,Bank
P000086,STU0014,S06,68000,51000.0,17000.0,Partial,2024-10-14,Card
P000087,STU0014,S07,68000,0.0,68000.0,Unpaid,,Card
P000088,STU0015,S01,75000,75000.0,0.0,Paid,2023-01-25,Mobile Banking
P000089,STU0015,S08,68000,0.0,68000.0,Unpaid,,Card
P000090,STU0015,S03,60000,45000.0,15000.0,Partial,2023-10-09,Card
P000091,STU0015,S04,75000,37500.0,37500.0,Partial,2024-01-24,Bank
P000092,STU0016,S09,60000,60000.0,0.0,Paid,2025-09-15,Cash
P000093,STU0016,S04,45000,45000.0,0.0,Paid,2024-02-28,Cash
P000094,STU0016,S05,60000,60000.0,0.0,Paid,2024-05-30,Mobile Banking
P000095,STU0016,S10,52000,52000.0,0.0,Paid,2026-02-04,Bank
P000096,STU0016,S11,45000,45000.0,0.0,Paid,2026-05-06,Cash
P000097,STU0017,S04,45000,22500.0,22500.0,Partial,2024-01-18,Mobile Banking
P000098,STU0017,S11,75000,0.0,75000.0,Unpaid,,Cash
P000099,STU0017,S08,68000,34000.0,34000.0,Partial,2025-06-22,Card
P000100,STU0017,S02,60000,60000.0,0.0,Paid,2023-05-03,Cash
P000101,STU0018,S06,75000,37500.0,37500.0,Partial,2024-10-07,Card
P000102,STU0018,S09,75000,75000.0,0.0,Paid,2025-10-27,Card
P000103,STU0018,S08,60000,0.0,60000.0,Unpaid,,Bank
P000104,STU0018,S02,52000,39000.0,13000.0,Partial,2023-05-31,Bank
P000105,STU0018,S11,75000,56250.0,18750.0,Partial,2026-05-13,Mobile Banking
P000106,STU0018,S01,45000,0.0,45000.0,Unpaid,,Cash
P000107,STU0018,S05,60000,60000.0,0.0,Paid,2024-05-05,Card
P000108,STU0018,S07,60000,45000.0,15000.0,Partial,2025-02-08,Bank
P000109,STU0019,S02,68000,68000.0,0.0,Paid,2023-06-22,Card
P000110,STU0019,S09,52000,26000.0,26000.0,Partial,2025-10-04,Card
P000111,STU0019,S06,60000,60000.0,0.0,Paid,2024-10-17,Bank
P000112,STU0019,S08,75000,75000.0,0.0,Paid,2025-06-23,Card
P000113,STU0019,S04,68000,34000.0,34000.0,Partial,2024-01-06,Card
P000114,STU0019,S10,45000,22500.0,22500.0,Partial,2026-01-03,Bank
P000115,STU0019,S07,52000,52000.0,0.0,Paid,2025-01-07,Mobile Banking
P000116,STU0020,S01,52000,39000.0,13000.0,Partial,2023-02-01,Card
P000117,STU0020,S08,52000,52000.0,0.0,Paid,2025-06-05,Card
P000118,STU0020,S11,60000,60000.0,0.0,Paid,2026-06-18,Cash
P000119,STU0020,S03,75000,0.0,75000.0,Unpaid,,Cash
P000120,STU0020,S09,75000,75000.0,0.0,Paid,2025-10-05,Cash
P000121,STU0020,S10,68000,68000.0,0.0,Paid,2026-01-17,Bank
P000122,STU0020,S04,45000,0.0,45000.0,Unpaid,,Card
P000123,STU0020,S06,75000,37500.0,37500.0,Partial,2024-09-12,Mobile Banking
P000124,STU0021,S04,68000,34000.0,34000.0,Partial,2024-01-14,Card
P000125,STU0021,S11,75000,75000.0,0.0,Paid,2026-05-21,Mobile Banking
P000126,STU0021,S07,60000,45000.0,15000.0,Partial,2025-02-07,Cash
P000127,STU0021,S09,68000,68000.0,0.0,Paid,2025-10-29,Card
P000128,STU0021,S02,52000,39000.0,13000.0,Partial,2023-06-22,Card
P000129,STU0021,S08,68000,34000.0,34000.0,Partial,2025-05-08,Cash
P000130,STU0021,S05,75000,75000.0,0.0,Paid,2024-06-02,Bank
P000131,STU0022,S08,68000,51000.0,17000.0,Partial,2025-06-03,Bank
P000132,STU0022,S06,52000,26000.0,26000.0,Partial,2024-09-02,Mobile Banking
P000133,STU0022,S03,68000,0.0,68000.0,Unpaid,,Card
P000134,STU0022,S05,60000,60000.0,0.0,Paid,2024-06-26,Mobile Banking
P000135,STU0022,S07,60000,60000.0,0.0,Paid,2025-02-20,Card
P000136,STU0022,S09,75000,0.0,75000.0,Unpaid,,Cash
P000137,STU0022,S01,68000,34000.0,34000.0,Partial,2023-02-25,Bank
P000138,STU0023,S07,52000,52000.0,0.0,Paid,2025-02-27,Card
P000139,STU0023,S10,45000,22500.0,22500.0,Partial,2026-01-23,Bank
P000140,STU0023,S02,52000,39000.0,13000.0,Partial,2023-05-30,Cash
P000141,STU0023,S06,75000,0.0,75000.0,Unpaid,,Mobile Banking
P000142,STU0024,S11,75000,75000.0,0.0,Paid,2026-05-21,Bank
P000143,STU0024,S05,75000,0.0,75000.0,Unpaid,,Cash
P000144,STU0024,S02,60000,60000.0,0.0,Paid,2023-06-10,Card
P000145,STU0024,S06,75000,75000.0,0.0,Paid,2024-10-31,Cash
P000146,STU0024,S08,52000,52000.0,0.0,Paid,2025-06-02,Card
P000147,STU0025,S02,45000,45000.0,0.0,Paid,2023-05-28,Mobile Banking
P000148,STU0025,S06,60000,30000.0,30000.0,Partial,2024-09-13,Cash
P000149,STU0025,S10,68000,51000.0,17000.0,Partial,2026-02-20,Card
P000150,STU0025,S09,68000,51000.0,17000.0,Partial,2025-09-19,Mobile Banking
P000151,STU0025,S11,45000,33750.0,11250.0,Partial,2026-05-06,Bank
P000152,STU0026,S07,52000,52000.0,0.0,Paid,2025-02-14,Mobile Banking
P000153,STU0026,S02,52000,52000.0,0.0,Paid,2023-06-04,Mobile Banking
P000154,STU0026,S11,75000,75000.0,0.0,Paid,2026-05-19,Bank
P000155,STU0026,S06,68000,34000.0,34000.0,Partial,2024-09-14,Cash
P000156,STU0026,S08,68000,0.0,68000.0,Unpaid,,Bank
P000157,STU0026,S01,75000,56250.0,18750.0,Partial,2023-02-22,Card
P000158,STU0026,S05,45000,45000.0,0.0,Paid,2024-06-04,Bank
P000159,STU0027,S05,45000,0.0,45000.0,Unpaid,,Card
P000160,STU0027,S07,45000,45000.0,0.0,Paid,2025-03-01,Bank
P000161,STU0027,S09,52000,0.0,52000.0,Unpaid,,Cash
P000162,STU0027,S10,45000,45000.0,0.0,Paid,2026-01-24,Cash
P000163,STU0027,S02,45000,22500.0,22500.0,Partial,2023-06-19,Cash
P000164,STU0027,S03,45000,22500.0,22500.0,Partial,2023-09-15,Cash
P000165,STU0027,S08,52000,26000.0,26000.0,Partial,2025-05-25,Bank
P000166,STU0028,S04,52000,52000.0,0.0,Paid,2024-01-09,Mobile Banking
P000167,STU0028,S02,75000,56250.0,18750.0,Partial,2023-05-12,Mobile Banking
P000168,STU0028,S07,60000,0.0,60000.0,Unpaid,,Card
P000169,STU0028,S06,75000,37500.0,37500.0,Partial,2024-09-16,Card
P000170,STU0029,S11,75000,75000.0,0.0,Paid,2026-05-23,Bank
P000171,STU0029,S04,52000,26000.0,26000.0,Partial,2024-02-06,Card
P000172,STU0029,S02,60000,0.0,60000.0,Unpaid,,Card
P000173,STU0029,S09,52000,26000.0,26000.0,Partial,2025-10-23,Card
P000174,STU0029,S03,45000,0.0,45000.0,Unpaid,,Card
P000175,STU0029,S01,52000,26000.0,26000.0,Partial,2023-02-26,Cash
P000176,STU0029,S06,75000,75000.0,0.0,Paid,2024-10-28,Bank
P000177,STU0029,S10,45000,33750.0,11250.0,Partial,2026-01-28,Mobile Banking
P000178,STU0030,S04,52000,39000.0,13000.0,Partial,2024-02-12,Bank
P000179,STU0030,S07,60000,30000.0,30000.0,Partial,2025-02-26,Bank
P000180,STU0030,S02,45000,45000.0,0.0,Paid,2023-05-03,Card
P000181,STU0030,S05,75000,56250.0,18750.0,Partial,2024-05-17,Mobile Banking
P000182,STU0031,S07,45000,22500.0,22500.0,Partial,2025-01-18,Mobile Banking
P000183,STU0031,S01,45000,22500.0,22500.0,Partial,2023-02-23,Cash
P000184,STU0031,S08,52000,0.0,52000.0,Unpaid,,Card
P000185,STU0031,S04,60000,60000.0,0.0,Paid,2024-01-19,Bank
P000186,STU0031,S06,52000,52000.0,0.0,Paid,2024-09-25,Card
P000187,STU0031,S10,68000,0.0,68000.0,Unpaid,,Bank
P000188,STU0031,S09,45000,0.0,45000.0,Unpaid,,Cash
P000189,STU0032,S05,60000,45000.0,15000.0,Partial,2024-05-09,Card
P000190,STU0032,S07,60000,60000.0,0.0,Paid,2025-02-09,Cash
P000191,STU0032,S04,45000,0.0,45000.0,Unpaid,,Card
P000192,STU0032,S09,68000,68000.0,0.0,Paid,2025-09-29,Cash
P000193,STU0033,S05,68000,51000.0,17000.0,Partial,2024-05-05,Bank
P000194,STU0033,S10,45000,45000.0,0.0,Paid,2026-01-06,Card
P000195,STU0033,S06,68000,51000.0,17000.0,Partial,2024-10-04,Card
P000196,STU0033,S08,75000,75000.0,0.0,Paid,2025-06-21,Mobile Banking
P000197,STU0033,S01,75000,75000.0,0.0,Paid,2023-01-25,Cash
P000198,STU0033,S02,45000,22500.0,22500.0,Partial,2023-05-20,Mobile Banking
P000199,STU0033,S11,75000,0.0,75000.0,Unpaid,,Cash
P000200,STU0034,S07,52000,52000.0,0.0,Paid,2025-02-27,Card
P000201,STU0034,S08,45000,22500.0,22500.0,Partial,2025-06-23,Cash
P000202,STU0034,S01,75000,56250.0,18750.0,Partial,2023-01-28,Card
P000203,STU0034,S06,52000,52000.0,0.0,Paid,2024-09-19,Card
P000204,STU0034,S04,68000,68000.0,0.0,Paid,2024-01-12,Card
P000205,STU0035,S09,45000,0.0,45000.0,Unpaid,,Card
P000206,STU0035,S02,75000,0.0,75000.0,Unpaid,,Bank
P000207,STU0035,S08,75000,0.0,75000.0,Unpaid,,Bank
P000208,STU0035,S04,45000,45000.0,0.0,Paid,2024-01-22,Card
P000209,STU0035,S01,52000,52000.0,0.0,Paid,2023-02-28,Mobile Banking
P000210,STU0036,S02,75000,75000.0,0.0,Paid,2023-06-22,Card
P000211,STU0036,S01,52000,39000.0,13000.0,Partial,2023-02-09,Card
P000212,STU0036,S06,60000,45000.0,15000.0,Partial,2024-09-11,Cash
P000213,STU0036,S11,68000,68000.0,0.0,Paid,2026-05-23,Cash
P000214,STU0036,S05,60000,30000.0,30000.0,Partial,2024-06-19,Bank
P000215,STU0037,S07,52000,52000.0,0.0,Paid,2025-01-03,Card
P000216,STU0037,S03,45000,0.0,45000.0,Unpaid,,Bank
P000217,STU0037,S06,45000,0.0,45000.0,Unpaid,,Bank
P000218,STU0037,S11,75000,75000.0,0.0,Paid,2026-06-12,Mobile Banking
P000219,STU0037,S10,75000,37500.0,37500.0,Partial,2026-01-22,Card
P000220,STU0037,S09,75000,75000.0,0.0,Paid,2025-09-22,Mobile Banking
P000221,STU0037,S04,52000,39000.0,13000.0,Partial,2024-01-27,Bank
P000222,STU0038,S04,52000,26000.0,26000.0,Partial,2024-01-22,Bank
P000223,STU0038,S09,60000,30000.0,30000.0,Partial,2025-10-04,Cash
P000224,STU0038,S11,75000,0.0,75000.0,Unpaid,,Card
P000225,STU0038,S01,75000,75000.0,0.0,Paid,2023-01-03,Cash
P000226,STU0038,S08,45000,33750.0,11250.0,Partial,2025-05-23,Bank
P000227,STU0038,S06,60000,45000.0,15000.0,Partial,2024-09-06,Cash
P000228,STU0039,S07,60000,0.0,60000.0,Unpaid,,Cash
P000229,STU0039,S11,52000,26000.0,26000.0,Partial,2026-06-27,Bank
P000230,STU0039,S08,60000,60000.0,0.0,Paid,2025-05-24,Mobile Banking
P000231,STU0039,S05,45000,22500.0,22500.0,Partial,2024-05-19,Mobile Banking
P000232,STU0039,S09,68000,34000.0,34000.0,Partial,2025-09-23,Mobile Banking
P000233,STU0039,S01,52000,39000.0,13000.0,Partial,2023-02-07,Cash
P000234,STU0039,S10,52000,52000.0,0.0,Paid,2026-01-02,Mobile Banking
P000235,STU0040,S09,52000,0.0,52000.0,Unpaid,,Card
P000236,STU0040,S04,68000,34000.0,34000.0,Partial,2024-02-21,Mobile Banking
P000237,STU0040,S05,52000,26000.0,26000.0,Partial,2024-06-08,Cash
P000238,STU0040,S07,75000,37500.0,37500.0,Partial,2025-03-01,Card
P000239,STU0040,S06,45000,45000.0,0.0,Paid,2024-10-11,Bank
P000240,STU0041,S11,60000,60000.0,0.0,Paid,2026-06-26,Card
P000241,STU0041,S01,60000,0.0,60000.0,Unpaid,,Cash
P000242,STU0041,S02,52000,52000.0,0.0,Paid,2023-06-25,Card
P000243,STU0041,S09,52000,26000.0,26000.0,Partial,2025-09-05,Card
P000244,STU0042,S10,75000,0.0,75000.0,Unpaid,,Bank
P000245,STU0042,S09,52000,39000.0,13000.0,Partial,2025-09-19,Bank
P000246,STU0042,S05,68000,68000.0,0.0,Paid,2024-06-20,Mobile Banking
P000247,STU0042,S11,45000,33750.0,11250.0,Partial,2026-06-01,Mobile Banking
P000248,STU0042,S06,68000,68000.0,0.0,Paid,2024-10-22,Bank
P000249,STU0042,S04,60000,0.0,60000.0,Unpaid,,Bank
P000250,STU0043,S06,68000,34000.0,34000.0,Partial,2024-09-14,Card
P000251,STU0043,S04,60000,60000.0,0.0,Paid,2024-01-24,Bank
P000252,STU0043,S09,45000,22500.0,22500.0,Partial,2025-09-11,Bank
P000253,STU0043,S03,52000,26000.0,26000.0,Partial,2023-09-16,Cash
P000254,STU0044,S03,45000,33750.0,11250.0,Partial,2023-09-28,Card
P000255,STU0044,S09,45000,33750.0,11250.0,Partial,2025-10-31,Card
P000256,STU0044,S06,75000,0.0,75000.0,Unpaid,,Card
P000257,STU0044,S07,45000,33750.0,11250.0,Partial,2025-01-30,Cash
P000258,STU0044,S08,60000,60000.0,0.0,Paid,2025-06-26,Cash
P000259,STU0045,S01,45000,0.0,45000.0,Unpaid,,Cash
P000260,STU0045,S11,45000,22500.0,22500.0,Partial,2026-05-29,Cash
P000261,STU0045,S09,45000,33750.0,11250.0,Partial,2025-09-28,Mobile Banking
P000262,STU0045,S07,45000,45000.0,0.0,Paid,2025-02-15,Bank
P000263,STU0045,S04,52000,0.0,52000.0,Unpaid,,Card
P000264,STU0045,S10,68000,68000.0,0.0,Paid,2026-01-24,Bank
P000265,STU0046,S09,45000,33750.0,11250.0,Partial,2025-09-09,Bank
P000266,STU0046,S08,75000,37500.0,37500.0,Partial,2025-06-30,Bank
P000267,STU0046,S02,52000,52000.0,0.0,Paid,2023-05-06,Bank
P000268,STU0046,S11,68000,34000.0,34000.0,Partial,2026-06-03,Cash
P000269,STU0047,S01,75000,75000.0,0.0,Paid,2023-02-26,Card
P000270,STU0047,S05,52000,52000.0,0.0,Paid,2024-05-14,Mobile Banking
P000271,STU0047,S08,52000,52000.0,0.0,Paid,2025-05-03,Card
P000272,STU0047,S11,52000,39000.0,13000.0,Partial,2026-05-23,Mobile Banking
P000273,STU0047,S02,68000,51000.0,17000.0,Partial,2023-05-17,Cash
P000274,STU0048,S03,60000,60000.0,0.0,Paid,2023-10-10,Bank
P000275,STU0048,S05,68000,68000.0,0.0,Paid,2024-05-23,Card
P000276,STU0048,S01,75000,37500.0,37500.0,Partial,2023-01-31,Card
P000277,STU0048,S04,68000,34000.0,34000.0,Partial,2024-01-06,Bank
P000278,STU0049,S09,75000,75000.0,0.0,Paid,2025-10-31,Card
P000279,STU0049,S10,75000,0.0,75000.0,Unpaid,,Bank
P000280,STU0049,S02,75000,0.0,75000.0,Unpaid,,Cash
P000281,STU0049,S05,75000,75000.0,0.0,Paid,2024-05-24,Cash
P000282,STU0049,S01,45000,33750.0,11250.0,Partial,2023-02-08,Mobile Banking
P000283,STU0049,S11,52000,26000.0,26000.0,Partial,2026-06-19,Bank
P000284,STU0050,S01,52000,52000.0,0.0,Paid,2023-02-12,Cash
P000285,STU0050,S08,60000,45000.0,15000.0,Partial,2025-06-10,Cash
P000286,STU0050,S10,45000,33750.0,11250.0,Partial,2026-01-15,Cash
P000287,STU0050,S11,68000,68000.0,0.0,Paid,2026-06-19,Mobile Banking
P000288,STU0050,S09,75000,56250.0,18750.0,Partial,2025-09-25,Mobile Banking
P000289,STU0050,S05,45000,22500.0,22500.0,Partial,2024-05-21,Cash
P000290,STU0050,S04,68000,51000.0,17000.0,Partial,2024-02-18,Card
P000291,STU0050,S03,52000,52000.0,0.0,Paid,2023-09-03,Card
P000292,STU0051,S07,52000,39000.0,13000.0,Partial,2025-01-01,Bank
P000293,STU0051,S11,45000,22500.0,22500.0,Partial,2026-06-04,Mobile Banking
P000294,STU0051,S04,45000,45000.0,0.0,Paid,2024-01-18,Cash
P000295,STU0051,S03,52000,0.0,52000.0,Unpaid,,Bank
P000296,STU0052,S04,75000,37500.0,37500.0,Partial,2024-02-16,Card
P000297,STU0052,S10,60000,0.0,60000.0,Unpaid,,Mobile Banking
P000298,STU0052,S11,68000,34000.0,34000.0,Partial,2026-06-17,Bank
P000299,STU0052,S03,45000,45000.0,0.0,Paid,2023-09-03,Bank
P000300,STU0052,S06,52000,52000.0,0.0,Paid,2024-10-28,Mobile Banking
P000301,STU0052,S01,52000,0.0,52000.0,Unpaid,,Mobile Banking
P000302,STU0053,S05,45000,45000.0,0.0,Paid,2024-06-24,Bank
P000303,STU0053,S03,45000,45000.0,0.0,Paid,2023-10-01,Card
P000304,STU0053,S09,45000,0.0,45000.0,Unpaid,,Cash
P000305,STU0053,S08,52000,52000.0,0.0,Paid,2025-05-24,Card
P000306,STU0053,S07,52000,26000.0,26000.0,Partial,2025-02-16,Cash
P000307,STU0053,S11,68000,34000.0,34000.0,Partial,2026-06-08,Bank
P000308,STU0053,S02,45000,45000.0,0.0,Paid,2023-05-31,Mobile Banking
P000309,STU0054,S06,60000,60000.0,0.0,Paid,2024-10-01,Bank
P000310,STU0054,S11,52000,26000.0,26000.0,Partial,2026-05-15,Bank
P000311,STU0054,S10,60000,45000.0,15000.0,Partial,2026-02-22,Card
P000312,STU0054,S02,60000,60000.0,0.0,Paid,2023-06-15,Card
P000313,STU0054,S09,52000,52000.0,0.0,Paid,2025-10-17,Bank
P000314,STU0054,S07,75000,0.0,75000.0,Unpaid,,Mobile Banking
P000315,STU0054,S03,75000,0.0,75000.0,Unpaid,,Cash
P000316,STU0054,S08,60000,30000.0,30000.0,Partial,2025-06-17,Cash
P000317,STU0055,S06,52000,52000.0,0.0,Paid,2024-10-05,Cash
P000318,STU0055,S05,45000,22500.0,22500.0,Partial,2024-06-22,Card
P000319,STU0055,S02,75000,75000.0,0.0,Paid,2023-06-21,Mobile Banking
P000320,STU0055,S01,52000,39000.0,13000.0,Partial,2023-01-30,Mobile Banking
P000321,STU0055,S09,52000,52000.0,0.0,Paid,2025-09-26,Cash
P000322,STU0055,S03,52000,0.0,52000.0,Unpaid,,Bank
P000323,STU0055,S08,68000,68000.0,0.0,Paid,2025-06-27,Cash
P000324,STU0056,S01,45000,0.0,45000.0,Unpaid,,Card
P000325,STU0056,S07,68000,51000.0,17000.0,Partial,2025-02-18,Cash
P000326,STU0056,S04,75000,37500.0,37500.0,Partial,2024-01-28,Mobile Banking
P000327,STU0056,S10,60000,60000.0,0.0,Paid,2026-02-19,Mobile Banking
P000328,STU0056,S08,68000,0.0,68000.0,Unpaid,,Cash
P000329,STU0056,S09,75000,37500.0,37500.0,Partial,2025-10-19,Bank
P000330,STU0056,S06,52000,52000.0,0.0,Paid,2024-09-11,Card
P000331,STU0057,S01,52000,39000.0,13000.0,Partial,2023-01-15,Bank
P000332,STU0057,S06,60000,30000.0,30000.0,Partial,2024-10-24,Cash
P000333,STU0057,S03,52000,39000.0,13000.0,Partial,2023-10-25,Bank
P000334,STU0057,S08,75000,0.0,75000.0,Unpaid,,Card
P000335,STU0057,S10,45000,0.0,45000.0,Unpaid,,Card
P000336,STU0057,S05,68000,68000.0,0.0,Paid,2024-06-24,Mobile Banking
P000337,STU0058,S05,68000,68000.0,0.0,Paid,2024-05-07,Bank
P000338,STU0058,S09,68000,68000.0,0.0,Paid,2025-09-17,Card
P000339,STU0058,S08,52000,52000.0,0.0,Paid,2025-05-06,Bank
P000340,STU0058,S10,68000,68000.0,0.0,Paid,2026-02-24,Card
P000341,STU0058,S04,60000,30000.0,30000.0,Partial,2024-01-02,Cash
P000342,STU0058,S01,75000,75000.0,0.0,Paid,2023-02-04,Mobile Banking
P000343,STU0058,S02,68000,51000.0,17000.0,Partial,2023-06-10,Cash
P000344,STU0058,S11,68000,51000.0,17000.0,Partial,2026-06-07,Cash
P000345,STU0059,S04,45000,22500.0,22500.0,Partial,2024-01-29,Card
P000346,STU0059,S10,75000,37500.0,37500.0,Partial,2026-01-30,Mobile Banking
P000347,STU0059,S02,68000,34000.0,34000.0,Partial,2023-05-18,Card
P000348,STU0059,S08,68000,34000.0,34000.0,Partial,2025-05-30,Mobile Banking
P000349,STU0060,S04,45000,45000.0,0.0,Paid,2024-03-01,Card
P000350,STU0060,S01,75000,37500.0,37500.0,Partial,2023-01-06,Bank
P000351,STU0060,S06,75000,56250.0,18750.0,Partial,2024-10-24,Mobile Banking
P000352,STU0060,S05,52000,52000.0,0.0,Paid,2024-05-30,Mobile Banking
P000353,STU0060,S11,45000,45000.0,0.0,Paid,2026-06-10,Mobile Banking
P000354,STU0060,S10,52000,52000.0,0.0,Paid,2026-02-08,Cash
P000355,STU0060,S08,45000,0.0,45000.0,Unpaid,,Card
